ID,Age,Gender,ACT,SATQ,SATV,,,
169,1,22,24.509224,550.976761,511.292081,,,
170,2,15,23.492528,542.269902,526.484865,,,
171,1,19,23.220971,550.245102,530.184184,,,
172,2,21,23.368379,554.979983,546.764373,,,
173,2,22,24.845797,564.511436,533.269274,,,
174,2,23,25.682304,559.592708,527.808995,,,
175,2,23,25.553382,571.531825,538.294056,,,
176,2,37,26.654366,542.326524,507.888647,,,
177,2,20,25.026004,558.723206,532.356146,,,
178,2,42,27.907068,551.833420,537.708652,,,
179,2,17,24.470686,571.898029,515.214138,,,
180,1,18,30.440338,541.917017,541.437540,,,
181,2,22,26.251335,541.602782,533.384964,,,
182,2,19,23.285685,544.006074,525.847121,,,
183,2,18,22.858215,528.761043,536.327819,,,
184,2,18,25.964945,544.742450,552.706929,,,
185,1,19,24.553074,542.408673,531.818663,,,
186,1,18,26.428001,551.503938,532.482206,,,
187,2,24,25.946475,553.417560,525.406391,,,
188,2,29,24.854342,568.761708,521.501556,,,
189,2,20,23.306413,559.504238,538.303358,,,
190,1,27,21.970306,544.230963,521.439162,,,
191,2,25,24.106970,541.015853,530.715662,,,
192,2,18,26.712798,554.919192,525.223426,,,
193,1,20,25.428187,536.797668,534.789798,,,
194,1,25,22.508522,568.314588,533.336621,,,
195,2,19,25.346362,561.794401,540.375399,,,
196,1,40,25.770635,545.308243,524.899836,,,
197,2,29,23.232285,532.868655,527.301251,,,
198,2,17,25.307450,563.538724,520.212363,,,
199,2,27,25.116417,548.854602,525.557067,,,
200,2,19,22.714059,562.378163,533.773005,,,
