salary,years_experience,age,research_grants,publications,teaching_hours,gender,national,university_type,academic_rank,performance_score,research_output,grant_funding
22287.19264,13.11103572,58.42911002,22160.83238,10,12.57858553,Female,UAE National,Semi-government,Associate Professor,70.43851303,14.43859279,52544.55971
28280.23876,14.37258537,56.74558346,25349.19378,9,10.64777917,Male,UAE National,Public,Lecturer,68.4896029,17.67361593,47784.07143
30140.96023,14.35648649,58.25321469,69026.12489,11,10.69458376,Female,Expat,Private,Associate Professor,82.86669459,11.13921114,63031.34143
27819.77057,11.7531505,41.48140429,30142.67998,9,6.223297919,Female,UAE National,Semi-government,Associate Professor,80.85464098,21.15056851,52919.28796
16663.71696,4.281368963,29.07340676,40630.07773,11,13.91072424,Female,UAE National,Public,Professor,50.24921965,18.70415131,29732.93983
22146.79432,8.041757163,35.08701948,45887.44293,9,15.96810966,Male,Expat,Semi-government,Lecturer,64.42335102,18.38703348,50343.24075
26252.10865,14.87598815,43.53045721,52772.90367,8,14.49048412,Male,Expat,Semi-government,Associate Professor,64.40209459,19.30527349,52422.02498
21578.89692,9.391262458,48.30703081,31743.78161,9,16.62842032,Female,UAE National,Public,Assistant Professor,43.87652751,14.08194023,33242.49943
16001.37195,4.967287174,50.62912663,54921.67231,7,9.299519316,Male,UAE National,Public,Assistant Professor,70.84806836,10.46277171,58998.11049
28888.51593,11.70025647,42.88518313,81989.4188,15,7.681175608,Male,UAE National,Public,Lecturer,75.62197275,15.07262113,61991.76916
24980.5681,17.42058014,35.80346389,73196.79933,7,14.79919982,Female,Expat,Semi-government,Assistant Professor,92.860934,22.28102686,72948.92129
30244.37309,15.63025125,36.89840067,42286.54738,6,10.7888897,Male,UAE National,Semi-government,Assistant Professor,82.37523988,22.55530376,53530.91698
22479.14157,9.04748447,45.44184167,19111.32304,9,12.22405753,Male,Expat,Semi-government,Assistant Professor,74.71663024,18.12700295,53024.2148
25491.49951,10.89790891,43.4985055,40617.38292,5,11.2453443,Female,Expat,Semi-government,Lecturer,79.98634626,21.47674633,66411.15822
32200.87379,13.54107212,47.31017297,67375.45001,11,11.64102329,Male,Expat,Semi-government,Lecturer,67.79715278,15.72627268,49019.81396
29313.28378,14.59577087,40.61725197,52977.53608,7,10.78608444,Female,UAE National,Public,Lecturer,84.83453846,21.93684091,58595.01761
26928.94223,9.199336022,50.21572309,47707.18329,13,8.978415037,Female,UAE National,Semi-government,Associate Professor,73.04678669,9.421522502,62139.92845
29252.65247,13.25225046,32.0531304,63926.45724,6,13.66722653,Male,Expat,Public,Associate Professor,67.74713532,21.83582816,50369.15099
23625.7507,8.324311094,51.48069919,61586.9352,10,4.93288953,Female,Expat,Semi-government,Professor,77.91457901,-3.167590286,53752.91998
15439.6501,2.14561924,45.45655592,40069.36529,8,16.30090083,Male,Expat,Private,Assistant Professor,55.85125358,21.78947558,31615.22783
24250.91315,6.842111354,37.66593094,21903.66112,9,11.17355305,Male,Expat,Private,Associate Professor,85.59555008,9.922270603,57701.75103
34339.36984,18.87655446,37.27273698,100980.1942,6,9.278020322,Female,Expat,Private,Professor,70.99006468,20.30294346,55842.55543
27857.91308,13.20239898,44.41508777,50022.19889,11,14.33320514,Female,UAE National,Semi-government,Professor,70.41012811,28.56339711,49757.09532
31079.22835,17.26233767,36.83016258,35728.3066,6,12.64494845,Female,UAE National,Private,Associate Professor,82.71729407,20.83473619,64404.93412
20065.73257,9.882239246,47.10003174,52141.14906,12,13.98650626,Female,Expat,Public,Lecturer,57.55164568,13.16252132,45240.71347
24212.56627,11.46096364,42.36223952,33651.83731,10,16.84956496,Female,Expat,Private,Assistant Professor,82.91468775,18.31254297,61053.18551
31997.36278,8.93895515,36.33089091,60375.86035,7,7.613668634,Female,UAE National,Public,Associate Professor,60.97479316,33.04462587,37692.57821
22010.34702,8.360526417,31.107358,72437.2301,12,7.720052368,Female,UAE National,Semi-government,Associate Professor,58.90012897,25.66202145,42331.29337
24436.09604,11.30160919,32.1622302,47169.48493,10,11.25031879,Female,UAE National,Public,Associate Professor,72.20641814,23.99576476,48556.6238
22935.35879,9.903698101,25,44847.59029,17,14.96318555,Female,Expat,Public,Associate Professor,64.98519645,14.47069172,53353.63776
39353.67691,25.54959278,44.10891571,71642.24626,9,11.91070053,Male,Expat,Public,Associate Professor,69.1115439,13.74070796,56079.12363
29048.59254,17.11184931,50.4262243,68208.36999,13,14.05696918,Female,Expat,Private,Associate Professor,66.84151796,6.187417785,50916.68949
19534.70469,4.861624295,53.02774844,60619.51324,12,17.41625054,Male,UAE National,Private,Assistant Professor,66.18210883,18.29668818,40697.76028
24782.22514,18.08606287,32.03881215,69441.13931,17,14.46771876,Male,Expat,Private,Assistant Professor,77.9531652,17.9936083,58634.72323
21562.21421,10.38425941,32.76745368,46322.92214,13,8.797698201,Male,Expat,Public,Professor,89.76833117,14.28243244,73213.4171
39568.99952,25.96553784,42.01178887,43807.00572,10,10.86740655,Female,UAE National,Public,Professor,83.85300209,29.13568206,69435.3939
29270.10028,13.03425297,37.92159887,50260.86749,12,7.854692434,Female,UAE National,Semi-government,Associate Professor,64.44373656,24.00342006,45760.54425
31446.0184,13.36286851,33.81872444,78138.69492,9,11.25924502,Male,UAE National,Semi-government,Associate Professor,100,16.99782193,76811.85035
24827.08562,12.31644265,47.1365408,30148.43987,13,9.067907648,Male,UAE National,Public,Assistant Professor,73.76547091,20.74748814,56428.2691
26667.82534,11.83643657,46.23479203,81853.39997,10,12.06036339,Female,UAE National,Public,Associate Professor,66.65320029,25.84761832,58101.11809
20889.55661,12.77802233,41.40229423,36886.24561,10,9.232946013,Male,Expat,Public,Assistant Professor,77.14731916,25.01893397,51148.62717
20337.0249,0,41.40951858,77849.11883,16,10.37513771,Female,Expat,Private,Lecturer,57.32543618,17.77209041,39031.08407
28982.53857,7.279429989,40.27221929,40387.04117,12,12.5613213,Female,UAE National,Private,Lecturer,58.23788414,11.51552523,39503.14162
24473.88827,9.756738242,32.87745722,83690.49669,5,17.49353141,Female,UAE National,Private,Assistant Professor,64.59321196,22.2525358,54214.57016
37882.73338,19.16278522,36.72553221,1293.753364,10,12.43021788,Male,UAE National,Semi-government,Lecturer,83.16455613,17.21197498,65711.4158
32321.98132,15.60515334,42.50505712,71421.61001,8,16.57391579,Male,Expat,Semi-government,Lecturer,73.31713607,19.51458779,50586.4746
28896.90977,18.74791952,43.03322495,37961.11116,9,9.964515809,Female,Expat,Public,Professor,77.63450359,22.32061821,60082.69543
26413.91773,16.18719067,31.2110366,38936.45509,10,12.10261405,Male,Expat,Semi-government,Professor,75.59639991,29.69107922,58729.63067
23118.11777,5.132269001,54.86161875,75086.76722,11,11.06464328,Male,UAE National,Semi-government,Professor,73.77049811,29.90750584,59045.795
20560.89438,9.621178567,49.17152696,43081.61342,9,15.91488807,Male,UAE National,Semi-government,Lecturer,85.72239499,13.3241751,53242.93639
21845.33673,0,48.71015723,46086.02938,9,17.54360099,Male,UAE National,Semi-government,Professor,62.92711925,25.92825608,40511.04105
20342.52963,7.719395863,52.07304811,15055.56666,11,14.34352601,Female,UAE National,Private,Professor,73.82645089,28.50731717,60014.39139
20763.89192,5.757856829,27.78265715,47876.1182,14,19.71825717,Male,UAE National,Private,Associate Professor,72.12022395,28.35750516,53135.69315
20036.56014,11.77806674,50.81762143,39880.67602,6,12.19062571,Female,Expat,Semi-government,Assistant Professor,80.0512981,31.43471974,59613.89133
24239.57289,4.122026972,40.10262915,48904.43279,11,15.94852824,Male,Expat,Public,Professor,39.18926626,10.58625521,25363.59003
32646.6733,8.393786169,43.06748025,33163.56736,8,10.30395014,Female,Expat,Public,Professor,65.77060159,18.85395955,40757.58626
27000.50129,12.33214991,34.13573604,35012.84621,12,7.430482607,Male,UAE National,Private,Lecturer,80.22472024,15.41913635,58009.64156
31275.88051,17.58197028,43.16336788,60755.36381,7,9.932012796,Male,Expat,Private,Lecturer,81.31702916,28.63911238,66411.10088
29224.18145,17.06110278,25,52572.34901,15,10.57181233,Female,UAE National,Private,Assistant Professor,71.08295985,22.96322859,60880.04733
29611.90496,9.116129184,29.13140788,63951.73941,12,17.68652204,Female,Expat,Private,Assistant Professor,77.46510386,15.61547836,50285.12236
24924.10041,8.460957644,56.78351471,38003.57212,8,13.52074716,Male,UAE National,Private,Assistant Professor,78.06790517,5.693124165,52050.23015
42654.47236,29.63118853,29.13985968,70134.60142,6,10.52738132,Male,Expat,Private,Associate Professor,96.1467469,11.52450068,80108.56876
21864.3446,11.07698253,35.73819601,19594.26416,11,15.55924677,Male,Expat,Public,Professor,66.3298467,15.36106121,50036.23413
25235.92028,16.18065361,50.49586991,45606.61095,13,11.70806655,Female,UAE National,Private,Associate Professor,72.24468068,23.80550957,53459.09706
23575.63901,9.204773948,37.46119606,38174.43981,6,6.390805014,Male,UAE National,Private,Professor,71.55371726,18.35028564,59004.57909
26444.23761,8.064346751,44.42519325,52683.32832,12,13.35243701,Female,Expat,Private,Professor,77.38082961,12.26189797,53448.6709
30597.25116,13.65935352,35.32073877,50956.5064,9,13.54698189,Female,UAE National,Public,Associate Professor,74.96723385,12.09945857,54816.80539
23655.32831,4.095935923,33.32541564,44525.41496,17,6.35104966,Female,UAE National,Public,Lecturer,64.4948356,19.28636294,44991.66904
28124.21631,10.52947227,34.28255458,47960.10567,10,14.80143128,Female,Expat,Public,Assistant Professor,74.41558258,12.23225184,56949.12543
23276.76014,4.499228835,30.52775553,60805.75888,9,17.13813423,Male,UAE National,Semi-government,Lecturer,73.31264491,22.88528733,61169.96359
20940.11611,7.841898436,44.12502471,55026.33296,14,8.362028602,Female,Expat,Private,Professor,67.79482139,13.90007951,44889.51536
17608.77899,4.244929582,57.56978514,54045.60815,13,13.15849949,Male,Expat,Private,Assistant Professor,64.26486043,21.18636758,35747.39779
26272.04767,11.1970225,38.08398462,44449.72762,11,13.37495382,Male,Expat,Public,Associate Professor,67.66966384,10.38707111,47846.96059
20406.46683,5.9519824,33.47026204,34564.56085,10,9.599331794,Female,Expat,Public,Assistant Professor,73.96337803,24.1441435,49259.86261
35084.05606,11.95232425,25,43295.11836,12,12.54651188,Female,UAE National,Private,Assistant Professor,89.97256635,20.91807943,68316.88352
23263.56057,9.853685932,33.56026815,23307.78786,10,14.18151378,Male,Expat,Semi-government,Professor,63.04640342,14.54486636,40656.05535
24834.18354,9.782615251,27.10746113,48178.48279,10,12.73167282,Male,Expat,Public,Lecturer,60.72282016,18.46188548,41191.27514
24329.87906,10.6318979,27.71967802,46182.55561,8,12.65721469,Female,UAE National,Public,Lecturer,67.85182674,29.00356794,40271.74324
15084.53631,5.020923026,41.51462646,71754.20852,17,13.41844521,Male,UAE National,Private,Professor,46.95998705,20.24128444,25284.95098
24475.07212,4.488539251,42.21280612,43303.94025,13,12.04026146,Male,Expat,Private,Associate Professor,59.55582654,26.45259275,42070.13873
25308.38338,11.98963525,40.03383887,54632.14948,12,12.92100918,Male,UAE National,Semi-government,Lecturer,64.4936422,15.93607376,61536.45602
10875.71535,0,31.74435806,15144.56052,8,15.16708275,Male,Expat,Private,Assistant Professor,55.72237281,19.40955874,29945.87
27123.37383,11.91494492,44.68239549,42984.43589,11,11.32283211,Male,UAE National,Private,Lecturer,69.66688465,17.41924388,45312.66663
16636.28926,2.880214238,59.88151933,42621.21122,10,11.64605672,Male,UAE National,Semi-government,Associate Professor,63.27239484,17.03312996,40830.04238
31449.13348,14.75153796,41.4776838,22699.56409,11,12.38999468,Male,UAE National,Public,Assistant Professor,80.34465846,15.41599995,54400.4742
24784.79099,9.477753907,40.09999458,60377.42361,16,13.26374214,Male,UAE National,Public,Assistant Professor,64.41673439,23.08801795,47109.69045
31469.9158,18.30629607,35.30774984,13578.27861,10,14.19953795,Male,Expat,Private,Professor,79.31230647,18.26789329,51111.07891
27192.73901,14.23710839,52.18590897,57139.45519,19,15.09956959,Female,Expat,Public,Associate Professor,74.34402508,20.94052778,59448.75747
24839.08813,8.201851638,32.12276172,60202.48723,11,10.91630942,Female,Expat,Private,Lecturer,71.39063734,27.94769599,53923.66446
23137.46829,10.42604725,32.97389398,37977.46895,17,10.82498817,Female,Expat,Public,Professor,78.43741672,12.48881074,61223.70432
25787.91368,13.71063746,40.36802198,63376.80261,5,10.78166893,Female,UAE National,Semi-government,Professor,76.49467133,27.06852689,60056.85272
25966.04114,12.76149969,47.89101205,15394.74539,10,10.40149119,Male,UAE National,Public,Assistant Professor,82.59719004,21.77880156,59400.17796
29269.49666,14.51967421,43.35687978,6568.571905,11,13.72668578,Male,UAE National,Semi-government,Assistant Professor,79.72219272,26.20979141,69583.80662
23258.99594,5.496896327,33.76117643,29400.5545,10,11.65923566,Male,Expat,Semi-government,Lecturer,72.35312914,29.18626519,55629.38944
19244.1893,9.084016906,25,32966.75651,11,12.34952416,Male,UAE National,Semi-government,Associate Professor,70.96105636,13.70739723,46252.52059
32595.00872,17.66863855,34.17230703,20051.06663,7,10.43732129,Male,UAE National,Semi-government,Lecturer,78.02131175,19.71500296,54014.15281
25540.17638,14.4512375,36.18071435,49112.77089,5,3.778720734,Female,Expat,Private,Associate Professor,69.70402547,17.32982903,50263.08645
30456.70415,17.32088619,37.09506671,36637.13903,15,8.419872694,Female,Expat,Private,Assistant Professor,87.92192766,23.22157987,69049.73175
19944.25412,4.717211786,49.30270862,22489.78221,13,11.8135918,Female,Expat,Semi-government,Professor,75.3259337,27.25945472,48275.07267
27866.25296,17.01684985,32.95396728,56556.22147,7,8.168746313,Female,Expat,Semi-government,Assistant Professor,81.52060755,23.44890938,67029.51911
29439.34743,13.44853903,25,39179.86268,9,12.33125414,Male,Expat,Semi-government,Lecturer,72.44909118,19.64003548,51665.23941
31035.10773,16.40508181,50.5464186,35340.62202,16,13.17509405,Male,Expat,Private,Assistant Professor,76.10363416,18.41618616,55344.06582
22015.5962,4.705462065,39.95551765,34658.65089,13,15.12657173,Female,Expat,Semi-government,Lecturer,61.15564719,22.46643015,41976.41138
16279.92472,0,35.34574373,95541.72996,9,15.44846209,Male,UAE National,Private,Associate Professor,70.35220568,20.04263346,48779.53235
29107.16122,10.97303728,45.7690829,50387.62475,4,14.61510776,Female,Expat,Private,Associate Professor,62.06329733,29.05994318,47593.84152
27031.71807,9.748976915,38.84076337,42509.31698,8,11.17911717,Male,UAE National,Semi-government,Lecturer,64.94227491,21.8873707,50319.4651
29696.82576,14.99155449,47.80249967,67228.73051,12,9.48491436,Female,UAE National,Private,Assistant Professor,71.17387938,24.45300188,42532.07472
30555.87965,16.13466612,49.57797539,45378.61045,15,13.26161012,Female,Expat,Semi-government,Associate Professor,74.00424125,22.92647731,51086.56719
24046.42628,8.882670088,36.65672363,26220.73161,7,9.982819247,Female,UAE National,Semi-government,Professor,68.11068401,8.36881385,52095.95064
32186.53647,15.38003569,30.77319592,8992.850854,7,10.81485944,Female,Expat,Semi-government,Associate Professor,74.16629976,27.59072287,48056.36669
28158.2633,10.03531579,32.25563393,43056.2701,7,16.83860511,Male,UAE National,Private,Associate Professor,64.10134383,18.09466457,51288.12537
14719.27799,2.484598491,31.87296938,55575.99625,5,18.16227732,Male,UAE National,Private,Lecturer,70.30223709,18.46615021,40053.24863
22582.78734,10.88220778,39.54729209,70430.30786,9,11.25613738,Male,UAE National,Semi-government,Lecturer,71.37741753,6.643109996,58023.64765
31086.7136,15.11854773,32.24205024,37922.82138,17,11.53077216,Female,Expat,Private,Lecturer,79.11301744,15.92996286,60579.12655
29098.81486,12.41124476,40.39446665,71803.66942,13,16.08302011,Male,Expat,Private,Professor,68.15458079,18.67993155,61139.23242
19255.15075,0,35.1402217,20424.45752,8,13.46022451,Male,UAE National,Public,Professor,77.20129384,16.86423799,57315.99658
26912.34673,12.49110874,42.98678848,48160.86435,10,12.30923466,Male,UAE National,Private,Lecturer,58.50897483,13.26332615,49436.39361
18877.55635,4.161102244,48.20087322,7521.048346,11,12.04300927,Female,Expat,Semi-government,Associate Professor,69.54835675,17.00944268,47698.75153
24828.04006,11.62898158,37.0463424,62532.27275,7,9.227194792,Male,Expat,Semi-government,Associate Professor,72.5852871,19.33257654,48504.62642
26431.14326,9.098041591,41.42955773,45987.21402,11,7.619092694,Female,Expat,Public,Professor,67.39209613,12.87332603,48152.10927
23332.30371,7.94592856,41.04852149,39557.3686,13,18.08045135,Male,UAE National,Private,Assistant Professor,74.64551317,26.36133249,48718.34143
13081.58664,0.667300243,30.40241977,62004.25931,12,7.30507832,Female,UAE National,Private,Lecturer,55.94406481,18.95722323,43290.6073
27974.69414,6.275486776,37.14661493,33038.68804,12,10.99266415,Male,Expat,Semi-government,Assistant Professor,79.63041103,12.84095352,54397.4046
28305.40801,9.842804148,49.65286524,44303.26125,10,14.08297914,Male,Expat,Public,Assistant Professor,71.23132195,17.18850889,46600.05733
21748.71279,2.410631267,48.28870121,55123.41211,13,10.91047332,Male,Expat,Semi-government,Professor,62.60392645,24.47987148,41257.91119
25477.35387,13.36430618,38.1122401,57852.68231,10,19.59110901,Female,Expat,Public,Associate Professor,66.58150948,5.846821478,41608.72209
17687.43728,3.170221444,31.14274547,73245.19195,7,14.38759144,Female,Expat,Semi-government,Professor,51.75141278,17.50833829,37261.12364
19016.9645,7.455181871,33.50078121,36265.69314,8,11.88730947,Male,UAE National,Private,Assistant Professor,65.81293426,26.50981595,39318.13532
17747.37312,3.852252028,43.73236249,71930.94236,10,12.62804657,Male,Expat,Private,Associate Professor,67.27476813,31.37832708,36916.60914
24295.62608,10.8591967,34.80138492,77569.34711,14,15.56228146,Male,Expat,Semi-government,Assistant Professor,82.4943514,16.67596975,61638.48705
25018.07608,10.56635205,36.13150813,40927.27225,9,11.71455563,Female,Expat,Private,Lecturer,78.9219416,20.93965468,58062.78225
24263.70523,14.63107701,47.23214044,55783.67346,7,18.12040166,Female,UAE National,Private,Professor,83.09939805,27.24543542,64668.81736
28049.16748,17.60503114,42.37261551,66191.88872,14,7.763773181,Male,Expat,Private,Assistant Professor,79.0258114,30.23400874,52942.68036
32326.65967,22.06307711,29.01712439,22388.02588,12,10.80735391,Male,Expat,Public,Associate Professor,94.91499001,23.53160366,74713.90035
23320.19943,4.563770306,25.83145158,41803.97512,9,18.49656436,Male,UAE National,Public,Assistant Professor,88.46706823,20.71309987,66644.99215
24813.03288,12.99397195,53.03713705,39780.2166,10,10.01658866,Male,Expat,Private,Assistant Professor,68.38652089,11.33377838,44628.43182
26341.61686,15.54849921,50.23092651,61559.57047,7,9.700600707,Male,UAE National,Public,Assistant Professor,81.55301573,20.69280959,65452.1747
13318.77546,0,39.25290513,32073.34683,12,14.04490267,Male,UAE National,Public,Lecturer,69.02051825,22.31313018,44273.18305
28095.11209,10.17076209,33.92237506,63978.3937,4,10.93842311,Female,UAE National,Semi-government,Professor,66.38792077,25.10572818,46596.73303
23274.29601,9.049804825,31.04363097,54373.18614,8,9.55754023,Female,Expat,Semi-government,Associate Professor,67.96985652,21.74520461,43484.2433
26286.43326,8.779597632,42.1084065,15070.66549,14,14.98313619,Female,UAE National,Public,Lecturer,60.78228703,18.33736125,49309.41186
22688.91408,6.345218621,31.53247493,75152.38113,10,10.50890793,Female,Expat,Semi-government,Professor,78.04405673,7.957559536,52024.05204
25738.16746,10.5751304,25,42002.43523,10,13.43981922,Male,UAE National,Semi-government,Assistant Professor,72.47180294,18.93386323,47532.36769
25051.17654,11.10270714,26.61684879,30428.2322,8,10.41703867,Female,UAE National,Public,Assistant Professor,58.08983395,24.1470843,48039.43511
25504.61423,10.98646133,48.56292128,53028.06096,13,15.23188102,Male,UAE National,Public,Lecturer,88.18605631,14.2567436,60974.99485
39781.71733,16.40821898,41.28391699,46317.08369,8,13.78456312,Male,Expat,Semi-government,Lecturer,65.07670479,23.05102973,43034.49584
27455.46087,12.10486472,34.32168806,58556.2879,13,13.10977684,Male,UAE National,Private,Assistant Professor,69.39200997,28.10413828,53253.09122
34080.51966,11.9534796,47.59675657,38593.71864,14,8.96194331,Male,Expat,Public,Professor,64.87464342,23.53020487,45665.97318
24482.46264,11.30221132,36.12660839,37177.7148,11,9.318550708,Male,Expat,Public,Associate Professor,66.91105811,14.90007377,51610.17346
23220.02316,8.85304628,37.22858795,68519.50201,10,13.57781184,Male,Expat,Semi-government,Lecturer,77.13917782,16.19320106,49098.9718
23722.07822,4.688032359,43.45810361,62746.49366,6,8.637309079,Male,Expat,Public,Associate Professor,74.38955173,7.213492849,44838.47267
25502.40426,6.452100726,41.63807106,83783.77867,11,16.21694279,Female,Expat,Public,Associate Professor,69.21078567,13.08411448,45626.13419
20141.38721,4.662335429,37.85887127,0,17,10.62533091,Male,Expat,Public,Lecturer,56.08029418,14.77908996,35087.58591
24056.53654,6.404233404,32.14157136,32511.28703,9,15.66541405,Male,Expat,Private,Associate Professor,69.88710934,11.28909299,56464.0617
20918.50055,13.47768879,49.45512874,59511.76872,9,12.76793144,Female,UAE National,Private,Associate Professor,68.48515283,20.0126694,48345.43496
25872.72961,10.72443917,43.95251135,69474.52462,7,10.72020109,Female,Expat,Public,Professor,52.41673361,19.94837129,37823.87455
29008.70072,17.60658026,35.98878282,72116.66133,9,6.986558506,Male,UAE National,Private,Associate Professor,85.69373402,16.17853093,63830.59891
23319.35714,4.513487362,40.21850704,39096.27511,9,15.13516844,Female,Expat,Public,Associate Professor,63.33817983,17.30322278,48260.766
27818.65675,10.84327336,48.83101875,48747.03556,7,9.830494684,Female,UAE National,Semi-government,Lecturer,80.95316532,11.76503193,65466.24251
18526.13687,2.184045957,37.73488883,9601.453357,7,12.13370883,Female,Expat,Semi-government,Associate Professor,69.96292265,26.38646913,42072.46328
26652.15442,10.61335158,29.65486765,43096.70589,14,8.237932043,Female,UAE National,Public,Assistant Professor,66.77403364,21.31835451,38443.78722
22433.38457,9.013307898,36.70541305,31210.73516,15,8.433176646,Male,UAE National,Semi-government,Assistant Professor,67.33608131,26.07703119,50674.28032
27542.2745,12.11799533,31.83070034,25593.5862,11,16.24233117,Female,Expat,Semi-government,Lecturer,68.65190848,12.51285207,58227.45828
15621.037,1.995480108,42.06928918,47514.28446,7,16.6737163,Female,Expat,Public,Associate Professor,82.35671793,14.86853467,56699.58445
33236.48864,12.39720759,42.91176505,63959.4806,15,8.618143429,Female,UAE National,Semi-government,Lecturer,63.89756654,17.10195703,59343.64888
