United_States,Atlanta,91,Bank_of_America_Plaza,312,55,1992
China,Shenyang,92,Moi_Center,311,75,2012
United_States,Los_Angeles,93,U.S._Bank_Tower,310,73,1989
Malaysia,Kuala_Lumpur,94,Menara_Telekom,310,55,2001
UAE,Dubai,95,Ocean_Heights,310,82,2010
China,Guangzhou,96,Pearl_River_Tower,310,71,2013
China,Guangzhou,97,Fortune_Center,309,68,2015
UAE,Dubai,98,Jumeirah_Emirates_Towers_Hotel,309,56,2000
Russia,Moscow,99,Stalnaya_Vershina,309,72,2015
Saudi_Arabia,Riyadh,100,Burj_Rafal,308,68,2013
