ID,Program,AssignmentScore
129,Sustainability,3
130,Sustainability,2
131,Sustainability,1
132,Computational Systems,3
133,Social Innovation,1
134,Social Innovation,3
135,Business Transformation,2
136,Computational Systems,4
137,Sustainability,2
138,Computational Systems,2
139,Business Transformation,3
140,Business Transformation,1
141,Computational Systems,3
142,Computational Systems,4
143,Computational Systems,1
144,Social Innovation,3
145,Sustainability,3
146,Computational Systems,3
147,Computational Systems,1
148,Computational Systems,1
149,Business Transformation,3
150,Business Transformation,3
151,Social Innovation,3
152,Sustainability,3
153,Social Innovation,2
154,Sustainability,3
155,Business Transformation,3
156,Business Transformation,2
157,Business Transformation,4
158,Social Innovation,3
159,Computational Systems,1
160,Computational Systems,3
161,Business Transformation,2
162,Computational Systems,3
163,Computational Systems,4
164,Social Innovation,2
165,Sustainability,3
166,Business Transformation,3
167,Business Transformation,3
168,Social Innovation,4
169,Social Innovation,2
170,Computational Systems,2
171,Business Transformation,2
172,Sustainability,2
173,Social Innovation,2
174,Sustainability,3
175,Sustainability,3
176,Business Transformation,3
177,Business Transformation,3
178,Social Innovation,4
179,Business Transformation,2
180,Business Transformation,5
181,Business Transformation,3
182,Sustainability,2
183,Social Innovation,1
184,Computational Systems,3
185,Sustainability,2
186,Business Transformation,3
187,Sustainability,3
188,Business Transformation,2
189,Business Transformation,2
190,Sustainability,1
191,Social Innovation,2
192,Business Transformation,3
193,Social Innovation,3
194,Computational Systems,1
195,Business Transformation,3
196,Social Innovation,3
197,Social Innovation,2
198,Computational Systems,3
199,Social Innovation,3
200,Social Innovation,1
201,Computational Systems,3
202,Business Transformation,3
203,Social Innovation,4
204,Social Innovation,4
205,Social Innovation,1
206,Sustainability,2
207,Computational Systems,3
208,Sustainability,3
209,Computational Systems,3
210,Business Transformation,5
211,Business Transformation,3
212,Social Innovation,4
213,Computational Systems,3
214,Business Transformation,3
215,Computational Systems,2
216,Business Transformation,3
217,Sustainability,2
218,Business Transformation,2
219,Sustainability,2
220,Business Transformation,3
221,Social Innovation,5
222,Sustainability,1
223,Business Transformation,3
224,Social Innovation,1
225,Sustainability,2
226,Social Innovation,4
227,Computational Systems,3
228,Computational Systems,1
229,Sustainability,2
230,Business Transformation,3
231,Sustainability,2
232,Social Innovation,3
233,Business Transformation,3
234,Computational Systems,2
235,Business Transformation,5
236,Computational Systems,3
237,Business Transformation,0
238,Business Transformation,3
239,Business Transformation,2
240,Social Innovation,3
241,Social Innovation,2
242,Sustainability,2
243,Sustainability,3
244,Computational Systems,3
245,Social Innovation,1
246,Computational Systems,2
247,Sustainability,2
248,Computational Systems,2
249,Sustainability,4
250,Social Innovation,3
251,Business Transformation,1
252,Social Innovation,3
253,Computational Systems,5
254,Computational Systems,4
255,Social Innovation,1
256,Social Innovation,2
257,Sustainability,4
258,Computational Systems,2
259,Computational Systems,3
260,Social Innovation,3
261,Business Transformation,2
262,Computational Systems,2
263,Business Transformation,0
264,Social Innovation,1
265,Social Innovation,2
266,Sustainability,1
267,Computational Systems,4
268,Business Transformation,1
269,Sustainability,2
270,Computational Systems,3
271,Sustainability,4
272,Social Innovation,1
273,Computational Systems,4
274,Sustainability,3
275,Sustainability,2
276,Business Transformation,3
277,Sustainability,3
278,Computational Systems,2
279,Computational Systems,3
280,Business Transformation,2
281,Computational Systems,3
282,Social Innovation,3
283,Computational Systems,4
284,Computational Systems,1
285,Sustainability,5
286,Sustainability,1
287,Computational Systems,2
288,Business Transformation,3
289,Sustainability,3
290,Business Transformation,2
291,Computational Systems,2
292,Computational Systems,2
293,Social Innovation,2
294,Sustainability,3
295,Computational Systems,3
296,Social Innovation,2
297,Sustainability,3
298,Computational Systems,3
299,Computational Systems,3
300,Sustainability,3
