Remote_Work,Has_Health_Benefits,Department,Job_Level,Avg_Weekly_Work_Hours,Avg_Employee_Satisfaction_Score,Avg_Stress_Level,Performance_Score,Project_Deadlines_Met (%),Num_Annual_Projects_Completed
0,1,Marketing,Mid-Level,33.18874852591749,8.408091928751015,16.74771740968903,91.21527186701273,86.92496709026355,8
1,0,IT,Senior-Level,41.4016913512681,4.79791973323249,57.54117211236222,38.885448938717424,33.988838927804395,6
0,1,Finance,Senior-Level,60.0,8.59378982508926,12.600937695048836,83.2569776526996,85.41657015924127,2
0,0,Finance,Mid-Level,42.93985332379444,6.645074778083825,35.51502794715188,65.34778077280254,64.21557721764873,4
1,0,Marketing,Mid-Level,37.491762510620816,3.719818920948709,74.43749547351418,39.79189177793084,36.77105062910505,0
1,0,Finance,Mid-Level,47.37441201581802,6.856139251330988,41.27326949911919,64.22614686864816,69.66125049559265,6
1,1,Finance,Mid-Level,43.861503097673705,6.942066843060889,32.39180053386541,67.1373255424881,63.555618221889446,0
0,1,Marketing,Entry-Level,43.36075592361473,5.711075927736521,47.03093406522977,53.16706002503091,50.98624423231483,7
0,1,HR,Mid-Level,44.85480474572537,3.3918793601462243,81.01859507245328,24.975639305630462,23.150444366337062,9
1,0,HR,Entry-Level,56.45234851863633,7.820119124308932,22.524766291909607,72.928357470445,64.53001098813553,7
0,1,Finance,Senior-Level,30.95289251739268,6.745080760991505,34.230351325409835,68.8283617079122,69.10246498523215,2
0,1,HR,Mid-Level,43.78905661449164,3.628392307564378,72.4614752476944,21.95124970783466,19.21657404181712,4
0,1,HR,Entry-Level,32.58895096014769,3.934936799787943,77.86553515306599,26.759038193026726,29.19064653751594,8
0,1,Finance,Mid-Level,44.44410117073799,6.284093616472379,48.44853163564574,50.081696403283175,52.90548457216246,5
1,1,HR,Senior-Level,32.650507908111244,7.236213773846731,31.414209462100363,69.58926116411426,70.28442416475684,5
0,1,Finance,Senior-Level,36.66106549115933,3.369349723399277,81.43765252713739,16.767967048521946,17.497106937482894,6
1,1,IT,Senior-Level,37.63928068609675,3.877556017314876,73.91663587623795,29.576797670528627,30.067565013627455,2
0,0,Marketing,Mid-Level,47.80653375475767,5.161773862113106,60.18420481643349,38.942385600619026,36.84117304661454,4
1,0,Marketing,Mid-Level,47.34763555153931,7.031507421967868,37.8139647659387,72.9758936642026,71.13140981285557,7
1,1,HR,Entry-Level,30.03426098842893,6.023354024440872,49.26455988742945,57.829778061581614,61.79945890490635,3
0,0,HR,Senior-Level,40.43947288799879,5.799884803176679,47.59459878432754,45.88395790415874,48.08968223702761,6
1,1,HR,Mid-Level,34.32336116200662,4.958775623326679,54.962769569233664,45.99451111151601,46.61277206503101,2
1,1,Marketing,Senior-Level,29.931960714597324,3.975148317659273,71.76502157197004,31.910754587976218,33.7109505670333,8
1,1,IT,Senior-Level,38.26386359660504,5.125035916602283,63.191255617061046,34.51794773997288,34.33469715363362,10
1,1,IT,Entry-Level,37.53213769235344,7.249550688082856,33.83935884522863,72.22302467458141,72.77786498255965,5
1,1,Marketing,Entry-Level,59.41373189076418,4.445103812510819,70.64744675029307,34.825807329258296,36.609358062768614,4
1,1,IT,Entry-Level,43.46367860288557,5.933542501278117,54.69698210019733,44.885205133838355,38.66236267284958,4
0,1,Marketing,Entry-Level,28.979059993966104,4.638117292647964,60.30598693788375,44.60009248248316,47.31850923675729,8
0,1,IT,Senior-Level,35.48180796663246,4.191934898377062,71.99811288917904,15.948573636280255,18.451594299751577,9
0,1,Finance,Entry-Level,48.17106636343519,7.397102218925298,33.32629625729673,73.46164478908747,71.1195799577651,7
0,1,Finance,Entry-Level,56.7075421829594,6.358070754074691,49.462616319403054,54.96992769097457,58.70223523944474,7
0,1,Marketing,Entry-Level,27.312133502096334,6.983252256485153,42.028181729611774,52.53342979673194,45.88148544274987,3
0,1,IT,Entry-Level,24.96060491888764,7.979836226764283,26.48210861951816,74.77729318094612,75.83615243538738,8
1,1,HR,Senior-Level,54.967721402974256,5.143560653309378,55.2006496640738,34.66793277909,34.78773191875876,7
0,1,IT,Entry-Level,43.11691341896723,2.992443481983403,87.67334827376635,8.509533561952498,7.581120337854179,2
0,1,Finance,Senior-Level,33.05365814498907,7.740459648176563,22.398833832413708,83.07936285799835,83.13746484046028,5
1,1,Finance,Mid-Level,44.27703268897948,6.1543834013168,49.51579083425794,50.4200283737163,52.16822004869899,7
0,0,IT,Senior-Level,20.0,5.442850788634563,59.6081440261216,40.05084111126064,34.63413634930503,6
1,0,IT,Senior-Level,40.027004052777286,5.562318976031542,51.84617302484272,48.37995792839007,51.38285169925702,1
0,1,HR,Entry-Level,42.62256938274468,6.1053786939610895,48.303079212263896,51.33977255654858,50.10895201940613,3
1,0,HR,Mid-Level,47.39416111630264,7.387496519737439,30.51175454831264,74.425694036531,77.47205258105504,4
1,0,IT,Mid-Level,31.888832381659697,5.480114959646257,53.49180114410245,43.41325078365823,45.34380381660806,4
0,0,IT,Mid-Level,40.68549729122687,6.589659193711362,38.6485403447611,63.44819002354562,62.15497960071863,3
0,0,IT,Mid-Level,32.5966029915233,8.83286508500685,17.1511744253217,77.12573725029533,76.88775866116669,7
1,0,IT,Senior-Level,42.043070045394536,4.776269621857676,67.91888330770595,35.7866128336276,35.724874552355004,9
1,1,Marketing,Mid-Level,32.837229421095806,5.076101917765241,64.37578729763064,34.0173571931084,38.836138335288425,4
1,1,IT,Senior-Level,36.73519328671824,5.443538397144417,50.7749146527662,49.02014768301073,45.598810322700565,3
1,1,HR,Senior-Level,32.033476841678166,5.921733622732772,53.43612032308554,44.7530249826222,43.43880641227828,4
0,1,Finance,Senior-Level,45.20908993458926,4.727867258866004,66.11477019073342,32.70696280669056,27.960398654065138,4
0,0,Marketing,Mid-Level,46.86760893325332,5.30574616305102,53.36509485167124,41.61127401010149,41.982998747009695,6
0,1,IT,Entry-Level,38.123035440340686,4.270596002803204,63.56026332141972,38.08598698937695,36.215459948905945,3
1,1,Finance,Entry-Level,40.30590395968023,5.973183351310024,45.53776698689225,57.23555349995188,55.72903897939414,10
1,0,Marketing,Mid-Level,28.41126868293165,4.6055618968974255,69.6797560786092,23.667043152160694,28.121114359956966,5
0,1,Finance,Entry-Level,37.602586815945706,5.565529850813251,54.81178588899026,42.20621458111071,39.73610601327009,5
0,1,IT,Entry-Level,39.59836306366604,5.811823064723863,52.91077915408811,47.23929005899501,46.76072391479664,3
0,1,IT,Senior-Level,60.0,7.17806204533247,30.94908366931952,66.0576756396838,64.68187478111422,2
0,1,HR,Senior-Level,31.10426379380669,5.6940266710310175,54.30433781452563,44.581554114540744,43.39406298453096,7
1,1,IT,Mid-Level,51.7134179100195,6.401398486479322,37.52067623758323,70.55983246486684,78.87520129334176,5
1,0,IT,Mid-Level,47.97487018772647,6.506508087266964,40.42575910207259,54.48342697063195,49.278499879794325,4
1,1,Marketing,Entry-Level,42.245091235921095,6.979306217270815,37.769365575258185,50.66969941005033,52.601905039035195,6
0,0,HR,Senior-Level,54.06896387356107,6.8122235637486845,34.006476021511624,62.99982491695681,70.28194507009586,5
0,1,Marketing,Mid-Level,42.97684378085491,3.5003726540090656,81.87157104525443,16.487630529847113,19.724887843888673,4
1,1,Finance,Mid-Level,43.11327356534343,3.904190804659749,69.97008592982604,27.57996432576755,27.720790822116825,7
1,1,IT,Mid-Level,39.57503477585964,3.5851550684714537,78.80551253216392,22.538543453746293,19.02023849337101,4
1,1,Finance,Mid-Level,49.78855105934902,7.267149250353118,31.656574706666543,63.2030164941176,67.11733949624782,2
1,0,Marketing,Mid-Level,48.77175387048707,5.840309741422366,51.068806248663385,43.05479316835534,45.866831102642436,3
0,0,IT,Mid-Level,34.9945817000303,7.057668417467362,30.597385621938564,66.03017850615757,61.441101195152605,8
1,0,IT,Entry-Level,29.446022443209863,6.21986472975127,39.56457684204404,57.16617947556016,56.2053357856771,5
0,0,Marketing,Senior-Level,38.37615490083474,7.390556489984354,36.22809524875137,74.37610949099422,70.75782765215986,6
0,1,Marketing,Senior-Level,33.59969148481883,4.053483334048564,68.59376009662343,39.168477643018136,30.58991752699481,2
0,1,Marketing,Mid-Level,39.49180340307716,6.648297433740993,44.0565548284736,47.59581042505255,43.90773798319758,3
0,0,Marketing,Senior-Level,49.89950507747312,4.997209466688014,66.02569000541024,24.32526543013443,24.641583108678542,3
1,1,Marketing,Senior-Level,36.34158675930568,4.789613479346597,59.061813343827765,40.5094219180699,42.25037944984855,7
0,1,IT,Senior-Level,39.6574129495074,2.718955634385702,84.55458128157184,25.003393778449954,24.033082919021744,5
1,1,Marketing,Mid-Level,40.46418187846716,7.845498399892655,27.80833665290414,75.52211205622831,79.64448823373479,2
1,1,IT,Mid-Level,46.78744705764228,4.724740418200456,68.88849859680198,30.947072907184047,34.035392645415904,2
0,0,IT,Senior-Level,22.02488532812316,4.816096593523167,67.19661305601092,30.52301558043093,30.147182669093187,7
0,1,Marketing,Senior-Level,35.14639764187763,7.052932400932711,35.39931742959448,69.98649495260955,69.22868688974607,8
1,1,Marketing,Mid-Level,41.69026953823578,4.86952694526861,65.10700004709739,35.78294685091913,36.93116570704449,4
0,1,HR,Entry-Level,49.600631651414886,5.048897982650448,55.04217444539344,53.61661747050832,53.56307824112785,4
0,0,IT,Senior-Level,36.06478041995036,6.595116842479105,46.587856100698886,44.97361958717204,40.69656734245455,4
0,1,Marketing,Entry-Level,24.987578351665007,7.327605926084319,37.64096769542,64.47726124724593,63.591115293178326,3
0,0,Marketing,Senior-Level,44.95769156772909,6.395949105523986,39.21335822826221,57.970153434008374,59.96685502763428,4
1,0,Marketing,Entry-Level,34.917100889394966,3.0704913384040324,80.74718143678889,21.324194650779116,25.26841544524305,6
1,1,HR,Entry-Level,30.48266672727711,5.432634807143247,50.01024228436224,51.244038973619745,54.12453066403656,5
1,1,HR,Entry-Level,35.005236882294206,4.627388430317189,61.73195002297189,40.81638102202823,41.81928911490401,5
1,1,Finance,Mid-Level,38.5237971387532,7.1379133498329805,38.13650927498671,66.75140145889424,71.12351638628793,3
1,0,IT,Entry-Level,35.162042683694295,6.6864651232756405,38.30220580667542,68.64675709213373,69.91861209632336,6
0,1,Finance,Entry-Level,22.355471543207447,4.069249288917665,66.22977213874913,43.528843713268955,43.26319355863993,4
1,0,Marketing,Entry-Level,47.17652957509706,7.362529122551654,29.756356826727018,70.32261467855984,74.75874938266026,2
1,0,HR,Senior-Level,50.19900033022978,6.833733877456203,43.77179348142093,53.5164566505275,55.67723262702583,5
1,1,HR,Entry-Level,45.21217593071604,5.920482664752246,50.51041116608348,43.360479990507905,47.266489271783975,7
1,1,Finance,Senior-Level,30.89851463660147,5.610278527439426,51.67058902760078,50.50384267421714,46.94102207163989,8
0,1,HR,Entry-Level,38.388067728419855,5.723738453100798,47.313600724757656,56.86098601237612,54.28018012558817,0
0,1,Marketing,Entry-Level,39.94782947816434,5.824735404247124,55.93729671643885,37.32046453840561,34.868249315190916,5
0,1,HR,Mid-Level,44.79035511649528,5.288112647824198,60.39283633726717,45.33048858397653,45.875818458360804,4
0,1,Finance,Senior-Level,45.34672390974465,4.69651370396009,61.01956318188995,38.47368526619099,43.94673386567788,6
1,0,Marketing,Entry-Level,34.12660960977203,6.635656789889306,35.2129428699826,58.50797320880577,55.091132592634374,4
1,1,Finance,Senior-Level,40.655964451308485,5.745152763121888,45.73767353106804,50.02089049645872,52.73698551386787,7
0,1,HR,Senior-Level,43.658243236921926,3.960257905492696,67.92144292815406,27.362343258627046,23.75463762588254,2
1,0,Finance,Mid-Level,51.64657857717413,4.795792932480414,63.419707813608085,31.953015945896627,38.30557415108973,3
0,1,Finance,Mid-Level,45.63605231859778,7.978171068890156,29.40710822778404,73.44239875442918,68.65244377367688,3
0,1,IT,Mid-Level,46.31245349900415,5.390726885899066,55.27219850528302,49.04694013815973,51.26784112444431,5
0,0,HR,Mid-Level,40.67061302343489,8.649060377508045,20.326621259377845,88.16910664823817,90.8102329174019,6
0,0,HR,Mid-Level,51.28367316162803,5.720551325617679,50.704023530905545,45.804865307401975,47.664880274104235,9
1,1,Finance,Mid-Level,43.27810236767598,3.669708108168687,78.46650525118966,23.24827608608687,20.616527376150657,6
0,0,IT,Mid-Level,33.111296718611435,7.250071967206066,35.78160924096521,60.983261757541506,57.814231341243826,7
1,1,HR,Mid-Level,51.22695976100152,6.550200846101149,37.48515431762627,62.61546519735227,66.43266707969944,2
1,1,Marketing,Entry-Level,45.583226180312224,4.73951216534307,61.460446723592895,31.137651339778813,34.28287123648373,2
0,1,Finance,Senior-Level,36.45564783097214,7.899137383883414,26.85797727185531,67.52603702644579,70.63031944775986,8
1,1,HR,Mid-Level,36.164056260806056,6.194973728873998,40.50867455172441,63.50662789156948,66.9745438619171,8
1,1,Marketing,Mid-Level,42.37260436112609,4.949322099119099,58.94661706372629,33.63605317574496,29.027808149047246,8
0,1,HR,Senior-Level,43.70547836214068,6.66099010922628,40.48571228465895,62.58844255372949,57.890529407907515,7
0,1,Marketing,Entry-Level,41.578338125049655,6.624520310391687,46.46045019183543,50.15880454790599,48.144833124935055,6
0,1,Finance,Senior-Level,42.49046938754308,4.877634758061982,61.16278565472552,29.20953242174175,27.770608205560862,2
0,0,HR,Senior-Level,53.59965899661104,5.622457486026955,56.32319125304842,30.983962049794233,29.225355393972382,7
0,1,HR,Mid-Level,48.57234521787909,5.431877623030698,54.00227594443103,53.31503078833569,54.14752470563729,6
1,1,IT,Senior-Level,41.52508473012019,6.5536269050405895,44.91316581094942,45.559751848971196,48.905503328816536,5
1,1,Finance,Senior-Level,47.53048464613987,5.466171740867248,55.55091672903433,44.12722019089538,43.24523456508467,6
0,1,Marketing,Mid-Level,31.73980877177969,6.374594624960427,48.14400979850365,53.62574417338126,51.17979246337767,4
0,1,HR,Mid-Level,43.18341639957447,5.172018873276213,56.86708414888677,36.56690470588089,39.00567400855072,4
1,1,HR,Mid-Level,54.47445079786488,6.558802784552285,42.54601962323033,54.68635353500189,53.840460069714275,4
0,1,Marketing,Mid-Level,38.25563283686101,6.191563231926588,47.26146538430688,55.132654165732184,55.45462881513454,5
0,1,Finance,Senior-Level,33.21892857104732,6.988163515823824,35.15063311171979,66.31594781238257,65.3185280548478,4
0,1,IT,Senior-Level,34.78328889125552,5.521404889528609,49.474885849906464,48.22223631772226,49.242147396429985,7
1,1,IT,Entry-Level,31.282935701260893,6.440643819781725,37.83498704556733,63.34953610280928,60.30782370383037,2
0,1,HR,Entry-Level,33.721904734978374,6.742562946635458,33.2893032475701,66.19952343150202,68.37834010913346,4
1,0,Marketing,Senior-Level,37.03593521127977,5.883541162759313,53.87991721783082,41.26799988435654,41.16966977848345,1
1,1,HR,Entry-Level,28.755463846570866,5.303883525749953,53.1910966378649,52.811355646003754,50.51840695532028,6
0,1,Marketing,Senior-Level,40.12494667159682,4.566247913929386,61.74310602422859,39.29399690057858,40.88679585962671,1
1,0,IT,Entry-Level,47.21821739029318,6.608275695728273,43.53311645637351,47.25672765743114,44.96091427019754,6
0,1,Finance,Mid-Level,32.73795055882464,5.143283387874781,56.12079270255133,46.4875805433074,44.32436274932025,6
1,0,Marketing,Entry-Level,52.15427138913415,5.150881060403091,58.26196358410495,38.66045716592688,35.05662646965313,0
1,1,IT,Mid-Level,44.08633670822076,4.939877138841297,56.67160711747392,41.88121192928562,36.770465448466744,6
1,1,HR,Mid-Level,48.24464468499246,7.325146158297979,37.61519475796787,62.42577941301583,64.02863555063936,1
0,0,Marketing,Mid-Level,34.737323569182905,5.998210380511585,52.24045223406783,43.794810251001685,47.291660198335165,4
1,1,Finance,Mid-Level,46.83620181653293,5.74194758623001,55.46210444081992,53.55308487365184,52.201285699599744,6
0,1,HR,Entry-Level,31.264528796837496,5.731133998270411,50.10767700361913,42.42573437003877,40.03031683647599,7
0,1,HR,Senior-Level,47.12198000669207,8.703791620004363,18.70283512443373,81.58060226205846,76.1437179243131,6
0,0,IT,Mid-Level,41.37471471834825,5.276597458756263,52.4073443596022,49.499413546172384,42.97936030648532,3
1,0,Marketing,Entry-Level,44.42600975987827,2.57628853667856,83.18796559095864,17.01809828418137,19.198289921327415,7
1,1,HR,Mid-Level,30.595243155001185,5.80335535185759,44.59941096864526,54.445659988964884,48.52363658216796,6
0,1,Finance,Entry-Level,32.839441261787165,6.830031443057045,39.07884353217018,59.036090052895865,55.60428934110328,5
1,1,Marketing,Entry-Level,44.77782574602708,5.322042538942026,55.600228395670975,40.383871875339175,41.23416583045519,7
0,0,Finance,Entry-Level,32.413215966206394,5.460875919158639,54.685673156998575,41.209761052137225,41.478882840192234,4
1,1,HR,Senior-Level,43.705650336792985,3.849877516980035,67.89102748124621,37.90168977509269,38.87579692574486,7
0,1,Finance,Entry-Level,29.062897548318038,7.328355147876869,31.131977661366683,66.6592887211487,66.68004706661446,1
1,1,IT,Entry-Level,46.78539370133335,5.137176178815453,60.97070378862489,49.690224545407006,48.61944398402245,2
0,0,Finance,Senior-Level,30.139813481851927,5.037999458736439,58.85633091877195,44.48837067520689,41.074773651245536,2
1,1,Marketing,Senior-Level,44.41839950143618,6.243235710821238,47.867801945891806,38.79404948107607,36.891619145259114,6
0,1,Finance,Entry-Level,45.005047469168005,5.142993150328056,55.08030976882535,49.335985312312474,48.46884168412902,8
0,1,Finance,Senior-Level,34.4258254525634,4.859653485817112,65.44186222397536,34.292338747411726,28.621313340610566,6
0,1,IT,Mid-Level,44.65621253667781,4.831370348751223,63.08473070042675,29.965510562654128,27.606502251022285,0
1,1,Finance,Mid-Level,42.08353810666845,6.972870572855401,32.85471031889407,73.66656568023575,72.54991015129538,10
1,1,Finance,Senior-Level,35.68926515045809,4.5448560757428105,62.30237280133227,35.51804253140009,33.4511482638396,2
0,0,HR,Senior-Level,31.931562527390334,6.042224554193519,49.029670924512224,48.36566727407886,47.33800371783075,5
1,1,HR,Entry-Level,24.29899446661937,6.072180304026382,51.09311147023273,50.78283861447874,52.78902186718258,8
1,1,Marketing,Senior-Level,42.79720037839755,5.65746487661037,51.097954865025415,54.61619683275576,56.990654614611444,5
1,0,HR,Entry-Level,27.48157782910356,5.779437498458751,47.7463551680261,52.82072082296469,57.35478026689729,4
1,1,HR,Mid-Level,40.76275359553046,4.710710568860103,67.87561245660598,32.333484282870714,27.809777192787653,3
0,1,HR,Senior-Level,37.892414271342005,6.107249074895683,48.74423060226182,47.77143932547191,46.50920387877771,7
0,0,HR,Entry-Level,45.43314220350556,7.18085148109537,33.20680807425247,72.42197617090802,76.10471468610939,7
1,1,IT,Entry-Level,37.583636004081086,6.313145848574797,44.09705216045407,56.51820177233983,51.28099402861004,3
1,1,HR,Mid-Level,37.36441770922327,5.314221405256635,52.68042075215713,46.192363610757866,42.6636758537454,3
1,1,IT,Senior-Level,45.85496563430637,4.423617483026863,68.43822176445576,29.814243850750387,27.96703684983572,2
0,0,IT,Mid-Level,42.68046423267294,4.93820748769018,59.0464202742325,46.087707703702776,52.22067911082717,2
0,1,HR,Entry-Level,42.52924765746223,7.392147608441487,37.24197081879434,61.44641119971002,58.522813087425824,7
1,1,Finance,Entry-Level,43.75414071846821,2.707029452746606,87.27784875018338,17.869139340493227,21.120601265987002,4
1,1,IT,Senior-Level,27.715423014343152,5.488249800800472,53.97162966466969,43.670496818547626,43.5868061375376,1
1,1,Finance,Entry-Level,46.05430943989585,4.304946698245236,69.13086106998523,34.480666348928466,31.041304300619828,3
1,0,Finance,Senior-Level,44.89975035210882,6.439732378423616,47.72428349634156,53.31119740537025,61.710669844383744,10
1,1,HR,Mid-Level,31.86653497138802,5.467452377311272,58.00038867058174,37.245836386498475,37.829780398215895,3
0,0,Marketing,Senior-Level,38.04735621060639,4.735127772483168,62.59202756777607,36.97309194409031,38.10169889767065,6
0,0,HR,Senior-Level,39.68554169897895,4.529289209613308,68.27292067631384,20.77406474168047,22.377587386300604,4
1,1,Marketing,Entry-Level,38.92402572478614,4.597858450391314,65.86052458067337,30.419276214167372,31.79014476068372,5
1,1,Marketing,Entry-Level,42.67087973254828,4.73545413194336,63.08295500109467,29.028012972607097,35.484233040193274,3
0,1,HR,Senior-Level,51.45093425464947,5.91950752011032,45.27369903208837,64.71380143381,70.07163297861878,7
0,1,HR,Entry-Level,48.65413382138263,6.511952149233301,41.42380937065908,50.746037549257856,47.95124311867144,5
1,1,Marketing,Entry-Level,29.50224645254875,5.16339253245066,54.98911265486296,57.93984048122693,63.99601522014364,2
0,0,HR,Entry-Level,44.97655992244839,5.081765392758651,63.99692108511604,38.57447657822637,36.47407771937664,6
0,1,Marketing,Senior-Level,50.63146655628328,5.947141022800439,46.6591894883509,50.746474671883995,51.71319731453122,3
1,1,Finance,Entry-Level,43.09446816551362,4.954132390723723,65.9775794857158,38.054221017388336,33.69966666210322,2
1,1,HR,Senior-Level,48.72784340148773,4.05061769157032,71.78925118229269,24.988175221909565,28.09799446350442,7
1,0,Finance,Entry-Level,56.09816356560612,7.110278860851269,36.2551862138987,56.697069384063255,55.7749856600197,6
0,1,IT,Mid-Level,48.18967636885585,6.922424657568011,37.4461894430558,62.94916189798834,59.50069898825289,3
1,1,Finance,Entry-Level,41.99446876513383,5.638182773931705,47.894374116419954,55.60598936521125,59.17149240731537,5
0,0,Finance,Entry-Level,48.36070779267803,5.324638717104778,54.614190022837946,51.777864453471494,56.086468638187156,7
0,0,Marketing,Senior-Level,41.159102664775126,6.08818821281977,42.13149479349424,60.35715575430072,64.76746409945682,4
1,1,Finance,Senior-Level,40.19122434627965,4.2660340289327845,70.28304018300716,27.070232198646185,22.501380850490513,4
1,1,HR,Entry-Level,37.18868611429014,5.250123951635708,56.36100292277677,50.57037748762735,55.2910062477765,3
1,0,Marketing,Mid-Level,52.50730687065686,6.062009494603346,50.59170572361109,55.22317340756911,54.32162636607771,6
1,1,IT,Entry-Level,33.45257067246399,7.348690719168363,28.461357141972087,72.88373049688562,79.0382409096573,4
1,0,HR,Entry-Level,52.25894179742493,7.142669162297052,30.262762753587392,75.79112598053008,77.66598707472255,5
0,1,IT,Mid-Level,43.99891298992297,5.388404001444843,54.2151387542271,56.70891280069694,57.46290658207242,7
0,1,Finance,Senior-Level,28.805550601584468,8.92566324924526,18.011065607677455,79.27101469185388,79.29657791006905,4
0,1,HR,Entry-Level,42.94119434393137,4.777958386290655,65.18956114466107,30.312050443923912,30.27106167390416,3
0,1,HR,Senior-Level,23.199787938787008,5.9499492635916535,47.6276923344152,49.50886171344497,47.47031876671815,1
1,1,IT,Senior-Level,45.00406413464829,1.7967392910942286,98.646394543921,-5.394644693750222,-8.59883623643874,5
0,0,HR,Mid-Level,47.08185186391193,2.5326510312402943,84.61874375924165,18.337330163841806,17.249344249773568,8
1,1,HR,Mid-Level,35.26115235478357,6.544720566268842,47.27826396128725,44.672220031994314,48.24488564134062,5
1,1,HR,Senior-Level,40.98838156764466,6.132661891192395,48.40494496203028,57.92012620832821,53.730251310817366,5
1,1,Finance,Entry-Level,55.63325947000229,4.374260509294218,64.93372271003045,31.705369109102108,35.72736780091228,3
1,0,IT,Senior-Level,35.954026365904504,3.790175965151031,75.54758914877057,31.245949845450223,31.6761190845316,3
1,0,HR,Entry-Level,31.5287393035472,7.4903520211973476,25.42956413845975,61.785244369938006,64.12966822652177,6
0,0,Marketing,Entry-Level,51.85330721970079,8.532139333834275,23.204368019679706,74.86969384180114,77.36917532387857,5
0,1,Marketing,Mid-Level,55.70069752424636,6.285661828159676,40.66947791668428,52.86547000453445,55.650504928208875,7
1,1,Marketing,Entry-Level,40.02956537478278,5.252941672421217,58.74106374760797,48.025710865333046,48.092915629452186,6
0,1,Marketing,Entry-Level,48.09170428326685,4.957695807737768,57.453103857613954,50.942020134905185,51.09904950885966,8
0,1,Finance,Senior-Level,50.73180732424705,4.713680397252057,66.04657182475775,22.233033688495368,24.91532371635649,8
1,1,HR,Mid-Level,34.060126139692926,7.609776611030249,32.00453707452038,72.32477071714855,69.20088643285526,8
0,0,IT,Entry-Level,36.11755331705705,8.901932890955862,15.257842055466853,90.08559471282769,86.5022190431021,9
1,1,HR,Entry-Level,49.84699610523788,4.875315049460844,62.87021292953218,38.75820969652195,37.36414892894953,5
1,1,Finance,Mid-Level,53.48011422966808,7.261047768491887,37.57705590552148,65.36376064153863,66.2280322075006,3
1,1,Marketing,Senior-Level,44.50304688139484,7.935069874808889,19.722682034170436,82.8575930397074,88.62020648952675,4
