Gender,Educational Degree Level,Major,Most Active Platform,Account Type,Type of Content,Age,Monthly Average Number of Posts Created,Avg Time Spent on Platform (minutes/day),Monthly Average Number of Likes Given,Monthly Average Number of Comments Received,Monthly Average Number of Shares,Number of Followers,Engagement Rate (%),Income in USD,Monthly Average Number of Views
Male,High School,Arts,TikTok,Business,Fashion & Beauty,25,13,283,813,0,146,39263,3.17748084,21948,396190
Male,Bachelor's,Business,YouTube,Business,Education,30,10,206,1544,327,124,82344,3.380335605,45883,312641
Male,Master's,Arts,Twitter,Influencer,Education,20,13,182,1942,570,121,109989,3.811611695,47361,461939
Female,Master's,Engineering,Instagram,Business,Gaming,33,15,187,1771,485,130,125183,3.559861984,67372,1143410
Male,None,Science,TikTok,Business,Travel,25,14,216,755,331,202,77499,3.325863677,38543,240311
Female,PhD,Engineering,Pinterest,Business,Art (Drawing),27,11,118,440,226,43,101736,0.949368711,48065,328351
Male,Master's,Business,Twitter,Business,Gaming,25,13,164,1070,421,123,28818,2.802227182,14651,910123
Male,Bachelor's,Business,Twitter,Personal,Travel,44,6,79,115,153,53,71955,0.908594698,39378,1051201
Male,High School,Engineering,Pinterest,Personal,Art (Drawing),29,19,203,1161,371,127,125452,3.492129901,65867,479735
Male,Master's,Science,TikTok,Personal,Fashion & Beauty,21,10,218,926,375,54,61192,2.024993837,27908,304596
Male,Bachelor's,Science,Pinterest,Business,Education,36,14,151,766,459,79,102993,1.665503416,55319,1156259
Female,High School,Other,YouTube,Business,Travel,20,23,274,202,713,85,125036,1.99136595,58531,946134
Female,None,Arts,Instagram,Influencer,Art (Drawing),31,7,106,1256,358,148,84259,3.429831885,43042,656017
Male,Master's,Other,Instagram,Influencer,Gaming,14,11,92,733,223,145,108896,2.494965297,52796,361277
Female,Master's,Science,TikTok,Influencer,Art (Drawing),19,12,193,415,296,37,61793,1.506245879,30220,490289
Female,Bachelor's,Engineering,Pinterest,Business,Gaming,31,15,242,0,34,102,90185,1.112853038,48547,468934
Male,PhD,Arts,Twitter,Personal,Education,35,24,281,986,195,64,135677,2.552849951,60781,570748
Female,None,Engineering,Twitter,Personal,Education,31,13,152,1886,238,37,108164,2.336168245,64602,893377
Female,PhD,Other,Twitter,Personal,Art (Drawing),29,19,244,1830,221,89,74582,3.272293829,30499,710788
Female,Master's,Business,YouTube,Business,Art (Drawing),27,17,177,771,322,84,111863,2.123227931,52588,324945
Female,PhD,Engineering,YouTube,Personal,Gaming,18,11,169,698,176,221,142947,3.28189757,74119,867145
Male,High School,Other,Twitter,Influencer,Gaming,24,8,233,1234,468,121,35880,2.935155884,18988,566717
Female,None,Other,TikTok,Influencer,Travel,26,24,219,500,300,31,178521,0.702829483,88363,658151
Male,PhD,Other,YouTube,Personal,Travel,38,12,85,1150,298,71,84524,2.587097274,42019,898947
Male,High School,Business,YouTube,Influencer,Travel,32,17,268,1383,250,151,123706,3.655690762,64392,320530
Female,Bachelor's,Business,Instagram,Personal,Art (Drawing),15,20,262,1613,323,204,181961,4.323241413,88878,492885
Male,PhD,Business,Instagram,Personal,Travel,32,11,142,949,423,20,50366,1.917416047,28691,404247
Female,None,Arts,TikTok,Influencer,Art (Drawing),26,14,203,898,169,6,70136,1.946656863,38011,267057
Male,High School,Business,YouTube,Influencer,Education,24,19,209,561,201,193,86565,3.210930837,47060,574380
Female,PhD,Business,YouTube,Influencer,Fashion & Beauty,34,15,195,586,254,119,67578,2.163008085,30524,1365438
Female,Bachelor's,Business,Pinterest,Influencer,Education,38,22,146,886,98,56,238087,1.776784691,118098,239505
Male,PhD,Engineering,TikTok,Personal,Art (Drawing),37,8,139,1183,177,126,65155,2.703171197,31598,493585
Female,High School,Business,TikTok,Influencer,Art (Drawing),23,13,178,1456,228,0,75746,2.236877085,34064,646016
Female,PhD,Arts,Pinterest,Influencer,Fashion & Beauty,27,18,250,598,431,100,110759,2.437957142,57374,525231
Female,None,Other,Pinterest,Business,Gaming,32,16,212,1746,339,116,54822,4.242222843,25937,477878
Female,Master's,Engineering,Instagram,Influencer,Gaming,37,14,157,864,329,146,82050,3.151829082,43713,297353
Male,High School,Science,TikTok,Influencer,Gaming,26,18,226,989,427,49,117201,2.006566142,52329,548793
Male,High School,Business,TikTok,Personal,Travel,28,15,9,626,279,104,84668,2.964444898,49611,369408
Male,High School,Other,Pinterest,Personal,Gaming,21,17,248,0,358,53,95437,0.751222645,43441,208229
Female,High School,Other,Twitter,Business,Travel,20,11,75,1442,284,112,76746,3.713892234,39214,806291
Male,PhD,Engineering,Twitter,Influencer,Travel,36,15,158,1368,339,55,46896,2.776292333,25304,733598
Female,None,Science,Instagram,Influencer,Gaming,40,13,112,859,212,79,117444,2.194924072,55371,510439
Female,Bachelor's,Arts,Twitter,Influencer,Gaming,29,16,102,1033,0,50,240479,2.180566965,130489,547979
Female,None,Other,Twitter,Influencer,Fashion & Beauty,38,15,249,1257,279,132,100924,3.378505383,44259,768419
Male,High School,Other,Twitter,Influencer,Fashion & Beauty,32,12,151,218,513,142,111922,1.980495673,64087,546942
Male,PhD,Other,YouTube,Influencer,Travel,24,13,200,735,438,88,141391,2.426642921,70795,717817
Male,PhD,Other,Instagram,Business,Fashion & Beauty,32,14,177,1397,444,101,53011,3.001369673,24924,443907
Male,High School,Engineering,Pinterest,Influencer,Travel,42,25,208,372,485,27,234259,0.659785853,113625,845054
Female,PhD,Science,Twitter,Influencer,Art (Drawing),29,15,184,1146,313,85,110645,3.175222682,59797,568455
Male,High School,Other,YouTube,Influencer,Travel,42,19,103,321,329,97,226127,1.435403428,106455,540356
Male,None,Arts,Twitter,Business,Travel,9,17,239,1233,207,231,69314,4.518837271,32059,300841
Male,Master's,Arts,YouTube,Influencer,Fashion & Beauty,36,15,150,982,252,44,248191,1.985149317,121346,560814
Male,PhD,Business,Instagram,Business,Art (Drawing),30,16,86,192,392,173,147340,1.981305076,64999,358463
Female,High School,Other,Twitter,Personal,Education,27,20,154,1582,480,149,131853,3.511225764,77928,387336
Male,High School,Other,YouTube,Influencer,Education,30,13,270,632,279,114,112413,1.972624614,53022,360848
Male,PhD,Other,TikTok,Business,Education,14,18,231,594,232,187,88314,2.951177115,47829,326396
Male,Bachelor's,Other,TikTok,Personal,Art (Drawing),28,22,159,1100,300,118,182260,2.944936472,93038,1169716
Female,High School,Other,YouTube,Business,Gaming,32,16,159,1574,390,119,107270,3.485956379,48354,851622
Male,PhD,Arts,Twitter,Business,Art (Drawing),41,14,160,492,83,97,37398,2.179613178,18687,1077883
Male,High School,Science,Twitter,Personal,Fashion & Beauty,25,21,304,1030,0,161,57201,2.867974183,30842,306571
Male,Bachelor's,Science,Instagram,Influencer,Travel,23,17,202,1214,217,154,91126,3.974781221,44705,514455
Female,Master's,Business,Instagram,Influencer,Travel,25,14,205,1346,116,68,116765,2.964477148,65348,298033
Female,Bachelor's,Arts,Pinterest,Business,Fashion & Beauty,37,14,241,1088,223,34,97210,2.324596621,53570,378543
Male,None,Other,Instagram,Personal,Fashion & Beauty,32,12,194,816,277,89,183948,1.922545461,100425,346317
Male,PhD,Science,Twitter,Influencer,Travel,25,15,164,586,232,59,37698,1.636253879,17982,820933
Female,Bachelor's,Engineering,Pinterest,Business,Gaming,34,16,168,1043,517,96,107443,2.451003491,47920,426714
Female,Master's,Engineering,Instagram,Personal,Gaming,30,11,175,463,349,161,40293,2.352973309,18910,766595
Female,High School,Engineering,YouTube,Business,Gaming,37,17,177,0,345,77,146207,0.741078988,74538,636673
Female,PhD,Other,TikTok,Personal,Fashion & Beauty,24,14,223,1218,393,97,95386,3.025068085,50296,1256472
Female,Bachelor's,Other,Instagram,Influencer,Travel,27,19,183,1451,129,102,123343,3.149702683,48279,276671
Male,Master's,Business,Instagram,Influencer,Travel,26,19,223,0,455,142,64924,1.474141613,32435,827410
Male,Bachelor's,Business,YouTube,Business,Travel,18,14,175,495,288,0,189597,1.175704791,96297,790910
Male,None,Business,Twitter,Influencer,Art (Drawing),32,21,184,1309,400,69,168347,2.483667074,81837,338748
Male,PhD,Engineering,YouTube,Influencer,Art (Drawing),32,11,60,2028,139,110,133879,3.618978246,75583,748043
Female,High School,Other,Instagram,Personal,Education,30,14,234,1010,66,160,93729,2.600247823,48841,571958
Female,Master's,Engineering,Twitter,Influencer,Art (Drawing),28,17,200,635,422,75,133633,2.255673168,75570,456513
Female,Bachelor's,Business,Pinterest,Personal,Gaming,18,16,239,908,356,6,70226,1.23869702,34354,359614
Female,PhD,Other,Instagram,Personal,Gaming,26,11,6,1687,164,130,153384,3.656913726,83881,375014
Female,Bachelor's,Arts,YouTube,Business,Gaming,27,27,305,677,169,68,228128,2.143327254,132714,1135164
Male,PhD,Science,Pinterest,Personal,Gaming,23,23,171,600,468,40,170796,1.842345986,96599,500136
Male,None,Science,TikTok,Influencer,Education,28,17,246,758,121,68,69433,1.914025441,30924,683659
Male,Bachelor's,Business,Pinterest,Personal,Gaming,33,19,117,523,546,90,119806,1.842703436,58383,364398
Male,None,Engineering,YouTube,Personal,Fashion & Beauty,45,8,216,1061,164,69,52383,2.231047259,25287,366012
Male,Master's,Arts,Pinterest,Business,Fashion & Beauty,31,11,116,1812,395,0,133135,2.448327663,69824,770779
Female,None,Other,YouTube,Influencer,Fashion & Beauty,32,9,142,1161,250,144,125270,2.886232465,66933,291423
Female,PhD,Engineering,Instagram,Influencer,Art (Drawing),29,19,294,873,390,163,39262,3.199681042,17984,423486
Female,Master's,Business,Twitter,Influencer,Travel,14,14,168,854,218,132,55939,3.092386109,28159,506852
Female,Bachelor's,Engineering,TikTok,Personal,Education,29,17,193,218,275,43,86799,1.358048206,34633,522778
Female,Bachelor's,Business,Twitter,Influencer,Fashion & Beauty,30,19,232,1441,306,89,86033,2.878977678,49219,465434
Male,PhD,Science,Twitter,Influencer,Fashion & Beauty,49,10,209,961,149,99,54621,2.756287893,25911,585775
Male,High School,Science,Twitter,Personal,Gaming,28,23,189,909,411,129,121469,3.293413423,61073,659677
Male,High School,Engineering,YouTube,Business,Fashion & Beauty,32,13,201,2596,223,133,113398,4.816032916,54943,670794
Female,Bachelor's,Arts,YouTube,Business,Gaming,29,20,324,1149,265,63,90743,2.96457935,50571,337068
Female,PhD,Other,TikTok,Personal,Gaming,20,15,176,624,150,104,68530,2.519697172,24542,446279
Female,High School,Business,YouTube,Business,Travel,39,20,192,786,0,122,168936,2.051128568,84327,806346
Female,None,Other,YouTube,Business,Art (Drawing),36,24,243,1574,271,172,228805,3.965402032,113191,715131
Male,Bachelor's,Science,YouTube,Business,Gaming,36,13,246,1056,661,135,78522,2.186083039,37479,288722
Female,None,Arts,YouTube,Influencer,Gaming,22,13,251,280,417,139,73632,2.110637566,43171,575477
Male,PhD,Arts,Instagram,Business,Travel,41,20,218,1459,297,104,127839,3.428525947,58247,226629
Female,None,Other,TikTok,Influencer,Gaming,18,16,111,665,260,170,83609,3.031349371,45030,509475
Male,High School,Science,YouTube,Business,Education,34,25,278,1936,303,120,93267,4.257126816,48294,1068183
Female,High School,Other,TikTok,Influencer,Art (Drawing),47,12,111,1540,382,56,144748,2.000359523,81504,342219
Female,Master's,Engineering,Pinterest,Personal,Education,22,10,198,776,122,170,38493,3.034859689,17962,358123
Male,Bachelor's,Arts,Instagram,Personal,Fashion & Beauty,25,20,134,1640,467,134,193315,4.342100347,89572,678727
Male,PhD,Arts,YouTube,Business,Art (Drawing),30,14,176,1033,407,77,103700,2.100607381,57533,269747
Female,Bachelor's,Engineering,Instagram,Influencer,Fashion & Beauty,25,19,199,1426,407,76,81403,3.028255736,42432,388194
Male,None,Science,Instagram,Personal,Gaming,17,10,199,1242,365,114,95636,2.481560459,40430,634720
Female,PhD,Arts,Pinterest,Personal,Travel,30,20,205,576,302,123,98139,2.60549041,46423,387956
Female,PhD,Business,TikTok,Personal,Education,21,15,276,678,400,109,42079,2.482300562,21852,454964
Male,High School,Business,Instagram,Personal,Fashion & Beauty,33,21,207,1514,388,115,211164,3.245158117,114427,673361
Female,None,Science,Twitter,Business,Gaming,22,11,165,832,246,184,102087,2.714634164,47576,591834
Female,High School,Engineering,Pinterest,Influencer,Education,42,15,237,798,213,153,124794,2.410702166,44212,556315
Male,High School,Other,Twitter,Personal,Education,23,24,251,522,315,109,160926,2.44640586,84673,436574
Female,Master's,Science,Pinterest,Business,Fashion & Beauty,27,9,106,1211,532,147,60014,3.014153706,26345,579770
Female,High School,Other,Twitter,Personal,Gaming,36,13,215,2031,114,48,126710,3.049949767,50574,475855
Female,Bachelor's,Science,Twitter,Personal,Travel,20,14,222,466,79,119,87474,2.006607399,31349,600480
Female,PhD,Business,Instagram,Personal,Fashion & Beauty,31,14,162,1012,324,190,152712,3.062324409,82571,409868
Male,High School,Engineering,Instagram,Personal,Education,40,18,262,1706,307,89,34520,4.154602242,17481,464787
Male,Bachelor's,Business,Pinterest,Business,Education,17,10,170,960,326,57,95166,1.986674058,46509,336509
Male,None,Engineering,TikTok,Influencer,Art (Drawing),31,10,187,1226,336,67,73977,2.245556336,42126,493047
Female,PhD,Other,Instagram,Business,Gaming,32,17,169,468,266,45,124126,1.161377376,66018,361480
Male,None,Science,Instagram,Business,Art (Drawing),36,14,180,1214,523,60,126493,2.669134755,73469,320213
Male,Bachelor's,Arts,YouTube,Business,Travel,20,6,114,906,59,81,70200,2.21368244,30211,554503
Male,None,Arts,Instagram,Personal,Fashion & Beauty,19,10,93,1492,175,29,70041,2.146753252,34899,544410
Female,None,Engineering,TikTok,Influencer,Education,34,20,275,1593,284,100,94617,3.423322578,39660,683862
Male,None,Engineering,YouTube,Personal,Gaming,32,14,129,2294,53,145,63869,4.848238769,31201,420800
Male,High School,Business,Twitter,Business,Education,32,21,120,1289,273,54,152347,3.2734928,74279,588648
Female,High School,Arts,Twitter,Personal,Art (Drawing),32,14,50,1162,549,175,83143,3.424209071,44176,623237
Female,High School,Business,YouTube,Influencer,Art (Drawing),24,8,141,1097,303,125,23375,2.690587806,11740,597358
Female,PhD,Other,YouTube,Influencer,Fashion & Beauty,31,11,100,823,334,151,82910,2.639350553,44039,359367
Female,Bachelor's,Arts,YouTube,Personal,Gaming,32,20,278,1169,110,67,59495,2.668901397,31840,530783
Female,High School,Other,Pinterest,Business,Gaming,24,11,240,852,207,142,44235,3.298763796,26883,578399
Female,None,Science,TikTok,Personal,Fashion & Beauty,44,14,138,1084,243,45,53863,1.835823595,26082,501437
Male,None,Business,TikTok,Business,Art (Drawing),33,18,315,1658,252,144,105622,4.420566544,47841,217025
Male,None,Engineering,Twitter,Influencer,Art (Drawing),20,22,238,496,492,108,194316,1.94792065,99548,533150
Female,None,Arts,Twitter,Personal,Art (Drawing),35,13,160,1569,383,127,116951,3.265587015,53784,1211507
Female,Master's,Business,Twitter,Influencer,Education,22,8,30,1658,133,41,73841,2.985745928,42391,432937
Male,PhD,Engineering,Instagram,Business,Travel,36,17,317,940,336,55,125602,1.801378225,61022,373671
Female,Bachelor's,Science,Twitter,Business,Art (Drawing),39,12,96,0,374,129,79489,1.625810847,37496,580533
Female,Bachelor's,Arts,YouTube,Personal,Travel,23,6,81,696,471,52,70659,0.650982398,33664,566546
Male,High School,Other,Twitter,Personal,Travel,37,11,241,1648,537,123,56147,3.597484328,30090,805692
Female,Master's,Science,YouTube,Personal,Gaming,33,14,326,988,147,31,41648,1.739955875,20495,302312
Female,Bachelor's,Engineering,Pinterest,Influencer,Fashion & Beauty,36,18,263,500,178,142,82286,2.071442367,38502,669921
Male,PhD,Arts,Instagram,Business,Education,45,21,213,747,111,38,108223,1.710335576,63122,633194
Male,None,Arts,Instagram,Business,Travel,28,8,215,1420,264,127,95283,3.24619314,43562,472363
Male,High School,Science,TikTok,Influencer,Education,23,20,231,1273,369,131,81222,3.388096487,40755,572540
Male,PhD,Arts,Pinterest,Personal,Gaming,22,20,225,880,448,65,62320,2.109538194,33192,754753
Male,Bachelor's,Engineering,YouTube,Personal,Art (Drawing),23,12,196,816,288,129,135543,2.285138777,56715,708772
Female,Master's,Science,Pinterest,Influencer,Travel,29,11,186,804,252,113,51759,2.365473058,27122,316524
Female,High School,Other,Instagram,Business,Fashion & Beauty,32,20,176,538,322,73,147405,1.393509743,65926,694138
Female,Bachelor's,Science,YouTube,Business,Gaming,32,8,134,1807,174,49,60585,3.212776953,32784,487228
Female,High School,Science,Pinterest,Business,Education,36,11,163,838,613,1,68645,1.691989523,31018,514789
Female,Bachelor's,Other,Instagram,Business,Art (Drawing),30,8,78,1608,58,117,48027,3.292991,25677,514855
Male,None,Engineering,YouTube,Influencer,Education,41,19,174,1760,327,21,77825,2.351456384,43215,470836
Female,Master's,Business,YouTube,Business,Fashion & Beauty,27,19,120,1499,603,104,162849,3.475262171,88438,805361
Female,None,Business,Instagram,Influencer,Travel,51,16,113,784,301,86,129409,2.258649013,66330,483533
Female,Bachelor's,Other,YouTube,Personal,Fashion & Beauty,35,19,190,1201,271,133,163102,3.320777246,79664,319510
Female,PhD,Engineering,Instagram,Influencer,Education,23,15,263,987,246,84,129832,2.227582019,61174,427176
Female,None,Arts,Twitter,Business,Education,21,12,235,548,272,83,57589,1.642377172,33030,537047
Male,PhD,Other,Twitter,Personal,Fashion & Beauty,33,12,85,1162,505,136,84755,3.42001073,39413,817535
Female,Bachelor's,Business,YouTube,Influencer,Fashion & Beauty,28,8,120,410,0,116,67698,1.923829671,30338,636411
Female,Master's,Engineering,YouTube,Influencer,Fashion & Beauty,35,22,236,1593,530,115,194504,3.264397042,103722,355808
Female,PhD,Science,Instagram,Influencer,Art (Drawing),33,10,121,767,86,123,54969,2.492905196,25296,1351113
Female,Bachelor's,Engineering,YouTube,Personal,Education,29,18,166,1100,260,23,156337,1.767176816,70741,555860
Female,PhD,Engineering,TikTok,Influencer,Gaming,23,19,213,1141,235,137,156279,2.616885096,66859,832775
Female,None,Business,Twitter,Business,Art (Drawing),17,20,121,870,388,130,249630,2.950987424,118787,470559
Male,Bachelor's,Business,YouTube,Personal,Art (Drawing),26,13,186,1293,60,49,81477,2.572101726,40401,618905
Female,None,Arts,YouTube,Personal,Art (Drawing),36,16,99,762,369,87,142783,1.97684288,73126,699520
Male,High School,Arts,Pinterest,Influencer,Gaming,31,23,143,1435,603,98,312935,2.95706774,171352,813939
Male,Bachelor's,Other,YouTube,Business,Fashion & Beauty,20,15,199,327,95,93,73431,1.741602724,38650,763226
Female,PhD,Science,TikTok,Personal,Education,31,14,84,1063,328,116,46416,2.404845804,22765,708738
Female,High School,Arts,Twitter,Influencer,Travel,33,13,206,1969,200,171,39062,4.066935219,19143,440792
Female,None,Business,Pinterest,Business,Travel,22,18,178,499,363,154,142811,2.784729994,75048,397784
Male,None,Engineering,Instagram,Influencer,Education,31,8,213,661,302,34,39001,1.513518297,21982,571149
Female,PhD,Other,Instagram,Influencer,Gaming,30,18,193,1256,203,131,83014,2.695742163,42031,726224
Female,High School,Arts,Twitter,Personal,Travel,20,17,261,1089,373,166,124440,3.212961455,59301,457382
Female,Master's,Engineering,Instagram,Personal,Art (Drawing),32,14,187,1175,570,119,109700,3.10264577,49404,765613
Male,PhD,Engineering,TikTok,Influencer,Travel,34,18,154,1244,271,154,123704,3.230289542,52913,893954
Male,None,Arts,YouTube,Personal,Education,38,15,187,1317,407,200,111755,3.551119389,59600,346568
Female,Bachelor's,Science,Twitter,Personal,Art (Drawing),38,15,212,1554,106,151,189540,3.499618342,100247,357751
Male,High School,Science,Pinterest,Business,Travel,18,7,182,1204,156,112,62116,2.839537446,32851,472698
Female,Master's,Other,YouTube,Business,Education,22,13,182,879,370,152,71284,2.982195552,35183,565467
Male,Bachelor's,Science,Instagram,Influencer,Gaming,34,11,137,1336,522,107,67954,2.917365015,38757,405362
Female,High School,Other,Instagram,Influencer,Education,34,23,140,1949,353,101,151451,3.757049534,72059,858759
Male,PhD,Business,Pinterest,Influencer,Gaming,34,8,95,933,253,82,156862,2.468904406,85923,592431
Female,PhD,Arts,TikTok,Influencer,Art (Drawing),60,26,284,512,299,178,125309,2.718362159,62411,507951
Female,High School,Engineering,Pinterest,Business,Education,34,20,105,1553,112,59,180714,3.260182392,84860,281531
Male,Master's,Other,Twitter,Personal,Fashion & Beauty,39,10,138,939,390,176,55487,3.443540355,29387,295385
Male,High School,Science,Pinterest,Business,Fashion & Beauty,37,19,136,0,432,124,230161,1.807067428,119794,559482
Male,Bachelor's,Other,Instagram,Influencer,Fashion & Beauty,35,23,233,1423,232,30,214174,2.273272133,110909,213059
Male,Bachelor's,Other,TikTok,Influencer,Fashion & Beauty,27,17,162,732,229,118,144456,1.843659564,72815,749692
Male,PhD,Science,TikTok,Business,Fashion & Beauty,36,27,254,954,339,0,243732,1.652997652,121404,469348
Female,High School,Science,Pinterest,Business,Gaming,23,12,139,1165,234,131,43678,3.513270038,27054,1829586
Female,PhD,Arts,Twitter,Influencer,Education,28,16,196,1095,290,144,76933,2.874920217,43021,1258624
Male,Master's,Engineering,Instagram,Personal,Art (Drawing),26,11,129,1354,614,70,69235,3.018742574,37119,464995
Female,Bachelor's,Arts,YouTube,Influencer,Fashion & Beauty,30,16,308,782,262,106,143438,2.548721122,72520,479178
Female,None,Arts,TikTok,Business,Fashion & Beauty,48,13,108,1256,246,197,59151,4.260720004,32554,744595
Male,None,Science,Pinterest,Influencer,Art (Drawing),15,13,198,870,202,74,146045,2.240311156,76805,988192
Female,High School,Science,Twitter,Influencer,Art (Drawing),35,16,218,1369,411,47,198430,2.378706872,99474,259666
Female,High School,Engineering,Twitter,Personal,Fashion & Beauty,17,22,204,1307,272,174,141566,3.346411963,68634,244706
Male,None,Other,Instagram,Influencer,Gaming,26,15,168,532,202,198,115243,3.195111495,57155,389862
Male,High School,Arts,TikTok,Influencer,Art (Drawing),38,10,172,1542,498,100,61021,3.37670431,20837,631250
Female,Bachelor's,Engineering,Instagram,Influencer,Education,30,11,182,732,512,150,65479,2.415429962,33428,609938
Male,Master's,Arts,YouTube,Business,Education,21,19,171,1404,209,167,186789,3.849469471,88832,767022
Female,Master's,Other,YouTube,Business,Gaming,24,18,237,1183,20,62,147650,2.274272427,85582,309429
Male,PhD,Arts,YouTube,Personal,Travel,35,17,312,1919,451,75,98067,3.852542084,49128,197976
Male,Bachelor's,Business,Twitter,Influencer,Gaming,24,12,146,888,197,161,81143,3.633932612,35747,704729
Male,High School,Engineering,TikTok,Business,Fashion & Beauty,31,9,97,825,418,184,36316,2.946888483,18067,359002
Male,High School,Science,Instagram,Personal,Travel,30,15,174,990,4,128,58541,2.728804302,26208,223009
Female,PhD,Arts,Instagram,Influencer,Fashion & Beauty,24,23,334,848,433,56,260051,1.263898731,136181,529871
Male,PhD,Engineering,YouTube,Personal,Education,47,13,131,1399,118,199,52717,4.248497094,27125,686686
Male,High School,Engineering,TikTok,Personal,Art (Drawing),35,20,278,191,409,73,109937,1.76842393,60233,476174
Female,High School,Arts,TikTok,Personal,Fashion & Beauty,13,22,280,473,302,83,165486,1.800791116,76199,416326
Female,Bachelor's,Science,Pinterest,Personal,Education,31,16,146,466,156,117,53394,2.401070661,26787,469122
Female,PhD,Science,TikTok,Personal,Gaming,24,19,214,1475,238,177,109675,4.882701199,47352,431115
Female,Bachelor's,Arts,TikTok,Personal,Fashion & Beauty,36,22,277,1855,402,142,159832,4.067290311,85522,291601
Male,High School,Engineering,Instagram,Personal,Education,23,11,157,947,315,120,100626,2.054033762,52923,375679
Female,None,Science,TikTok,Influencer,Art (Drawing),29,26,167,915,387,123,419629,2.283072257,220217,615921
Male,None,Arts,TikTok,Influencer,Fashion & Beauty,34,9,145,1035,596,102,43417,2.376311712,21712,568658
Female,High School,Arts,Instagram,Personal,Education,36,14,119,1580,65,127,169785,3.429006478,88413,534767
Male,PhD,Arts,TikTok,Influencer,Fashion & Beauty,20,13,141,536,542,0,91722,0.846268159,53218,335811
Female,None,Engineering,Instagram,Personal,Art (Drawing),27,13,106,1119,315,85,147102,2.205426312,71454,464985
Male,PhD,Science,Pinterest,Influencer,Fashion & Beauty,26,16,182,1487,165,112,124689,3.071102585,63208,209302
Male,None,Engineering,Twitter,Business,Fashion & Beauty,24,10,133,1250,100,42,69310,2.352005979,30891,537000
Female,PhD,Business,Instagram,Personal,Education,44,12,194,1094,271,119,112131,2.581136967,51197,885498
Male,None,Science,Instagram,Business,Travel,33,3,86,1500,438,89,39496,3.026628251,19941,277259
Male,PhD,Engineering,TikTok,Personal,Fashion & Beauty,19,15,199,0,280,187,135205,2.159731446,75065,395534
Male,Bachelor's,Science,Instagram,Personal,Travel,37,11,230,1338,526,178,116076,3.341190877,56550,570350
Male,PhD,Business,YouTube,Business,Gaming,46,14,60,672,82,76,137620,2.009219312,67186,825298
Female,Bachelor's,Other,YouTube,Business,Fashion & Beauty,38,21,202,84,298,92,169733,1.341108621,81413,417931
Male,Bachelor's,Arts,Pinterest,Business,Travel,17,16,253,1255,112,96,120178,2.12006774,56875,379065
Male,High School,Engineering,Instagram,Personal,Gaming,26,21,107,1686,354,77,107685,2.569907433,55430,227474
