Years_of_Experience,Salary,Job_Satisfaction,Stress_Level,Commute_Distance,Gender,Department,Promotion_Last_Year,Work_Mode,Performance_Rating
9.9,55364.93,2.5,8.0,27.5,Female,Software Development,Yes,Remote,4.1
12.0,90014.58,4.0,5.9,24.2,Female,Software Development,No,On-site,5.0
10.2,85946.14,3.8,6.4,21.6,Male,Marketing,No,On-site,4.3
16.7,131452.65,5.8,4.9,20.0,Male,Marketing,No,Remote,7.0
13.9,130779.59,5.8,4.6,19.7,Female,Software Development,No,Remote,5.8
10.0,115698.61,5.1,6.0,18.2,Female,Software Development,No,Remote,4.2
11.1,97107.37,4.3,5.3,27.8,Male,Marketing,No,Remote,4.6
11.5,90951.5,4.0,7.0,23.8,Female,Software Development,Yes,On-site,4.8
12.0,98319.68,4.4,5.2,29.8,Male,Product Management,No,Remote,5.0
1.0,32561.68,1.4,8.9,34.8,Male,Product Management,No,Remote,1.0
8.5,68874.0,3.1,7.5,29.8,Male,Marketing,No,On-site,3.6
2.6,42806.48,1.9,7.7,38.1,Female,Software Development,Yes,On-site,1.1
16.4,153101.01,6.8,3.2,14.9,Male,Product Management,No,On-site,6.9
9.7,87979.77,3.9,6.6,25.9,Female,Product Management,No,Remote,4.1
9.0,88499.87,3.9,5.6,23.9,Female,Marketing,No,Remote,3.8
14.5,141667.46,6.3,4.3,15.8,Female,Product Management,No,Remote,6.1
12.1,79812.27,3.5,5.6,23.2,Male,Product Management,Yes,On-site,5.1
4.4,46297.87,2.1,9.5,32.4,Male,Marketing,No,Remote,1.8
9.6,79745.67,3.5,7.1,22.3,Female,Software Development,No,On-site,4.0
8.3,64589.04,2.9,7.1,22.2,Female,Product Management,No,On-site,3.5
1.3,30957.48,1.4,8.3,34.7,Female,Software Development,No,Remote,1.0
6.5,66374.09,2.9,6.7,32.7,Male,Product Management,No,Remote,2.7
9.1,76345.81,3.4,6.5,29.5,Male,Product Management,No,On-site,3.8
9.4,58816.91,2.6,7.4,29.3,Female,Product Management,No,On-site,4.0
2.6,37118.6,1.6,9.4,40.7,Male,Marketing,Yes,On-site,1.1
15.8,100356.19,4.5,6.6,20.6,Female,Software Development,No,Remote,6.6
9.5,82510.64,3.7,6.5,19.3,Male,Software Development,Yes,Remote,4.0
10.2,91845.94,4.1,5.4,17.2,Male,Product Management,Yes,On-site,4.3
12.0,111022.04,4.9,4.8,17.3,Male,Product Management,No,On-site,5.0
6.1,83647.42,3.7,6.2,27.7,Male,Marketing,No,Remote,2.5
12.3,87186.63,3.9,5.5,22.6,Male,Software Development,No,Remote,5.2
8.2,74874.38,3.3,5.9,28.2,Female,Product Management,Yes,On-site,3.4
5.5,54842.92,2.4,9.2,36.5,Male,Product Management,No,Remote,2.3
12.9,120708.51,5.4,4.8,16.0,Male,Marketing,No,On-site,5.4
17.5,155228.83,6.9,2.9,13.2,Female,Marketing,Yes,Remote,7.3
13.6,110207.37,4.9,5.5,21.8,Male,Product Management,No,On-site,5.7
14.6,109150.9,4.8,4.5,18.4,Male,Product Management,No,On-site,6.1
7.4,51296.49,2.3,6.9,36.1,Female,Product Management,Yes,Remote,3.1
2.0,31488.9,1.4,7.9,33.2,Female,Software Development,No,On-site,1.0
17.5,154541.05,6.9,3.7,12.0,Male,Marketing,No,On-site,7.3
20.3,186539.67,8.3,1.7,8.7,Male,Marketing,No,On-site,8.5
17.7,136725.52,6.1,3.0,16.8,Female,Product Management,Yes,Remote,7.4
8.3,67284.51,3.0,7.9,31.3,Male,Product Management,No,On-site,3.5
4.2,37460.29,1.7,8.1,39.0,Female,Product Management,No,On-site,1.8
4.7,49331.02,2.2,6.4,28.7,Female,Marketing,No,Remote,2.0
1.6,36414.74,1.6,8.1,38.8,Female,Product Management,Yes,On-site,1.0
9.5,116927.83,5.2,5.1,18.0,Male,Marketing,No,Remote,4.0
18.0,119489.28,5.3,4.9,17.5,Male,Marketing,No,Remote,7.6
9.3,91555.71,4.1,7.0,22.9,Female,Software Development,Yes,Remote,3.9
11.5,125486.89,5.6,4.1,16.3,Male,Product Management,No,Remote,4.8
16.9,159929.74,7.1,2.9,12.8,Male,Product Management,No,On-site,7.1
8.0,77794.01,3.5,6.1,27.1,Female,Software Development,Yes,On-site,3.3
20.2,133035.21,5.9,3.5,15.4,Male,Software Development,No,Remote,8.5
20.0,118138.03,5.2,5.2,20.6,Male,Product Management,No,On-site,8.4
9.3,81470.12,3.6,6.7,24.7,Female,Marketing,Yes,Remote,3.9
7.1,93878.3,4.2,6.0,22.4,Male,Product Management,No,Remote,3.0
13.5,107980.73,4.8,5.4,21.0,Male,Software Development,No,Remote,5.7
8.3,65368.71,2.9,6.6,30.0,Male,Software Development,Yes,Remote,3.5
4.2,33661.71,1.5,7.7,35.7,Female,Marketing,No,Remote,1.8
16.4,111524.57,5.0,5.1,19.3,Male,Software Development,No,On-site,6.9
16.1,126847.48,5.6,4.9,19.3,Male,Software Development,No,Remote,6.7
10.8,124377.77,5.5,5.2,17.4,Female,Software Development,No,Remote,4.5
3.7,42985.67,1.9,8.7,29.7,Female,Software Development,No,Remote,1.5
3.9,49659.88,2.2,7.8,25.5,Male,Software Development,No,Remote,1.6
10.5,90237.31,4.0,6.2,26.9,Female,Product Management,No,On-site,4.4
7.5,64949.99,2.9,7.1,28.5,Male,Software Development,No,Remote,3.1
8.3,97404.88,4.3,5.1,23.3,Female,Marketing,No,On-site,3.5
15.1,125361.72,5.6,4.4,20.1,Male,Product Management,No,Remote,6.3
13.7,67731.26,3.0,6.1,26.3,Male,Marketing,No,On-site,5.7
16.9,122353.73,5.4,4.5,15.1,Female,Marketing,No,Remote,7.1
5.0,52223.96,2.3,8.9,31.0,Male,Product Management,Yes,On-site,2.1
8.3,61826.06,2.7,7.9,30.1,Male,Product Management,No,Remote,3.5
13.8,130822.41,5.8,3.8,16.2,Male,Product Management,No,Remote,5.8
12.2,100993.98,4.5,5.5,26.1,Female,Marketing,No,On-site,5.1
17.7,140632.9,6.2,3.4,10.4,Male,Product Management,No,On-site,7.4
12.1,121866.02,5.4,4.6,20.9,Male,Marketing,Yes,Remote,5.1
19.2,130325.3,5.8,4.7,18.5,Male,Software Development,No,On-site,8.1
12.7,149244.5,6.6,3.6,14.3,Male,Product Management,No,On-site,5.3
15.3,111922.76,5.0,6.3,11.7,Male,Marketing,No,Remote,6.4
8.4,77884.63,3.5,7.3,30.4,Male,Product Management,Yes,Remote,3.5
10.1,85669.42,3.8,6.3,21.6,Male,Software Development,No,Remote,4.2
14.6,127023.61,5.6,4.7,16.3,Male,Software Development,No,Remote,6.1
18.1,160703.97,7.1,2.8,11.2,Female,Product Management,Yes,On-site,7.6
13.6,124028.45,5.5,4.0,18.9,Female,Software Development,No,Remote,5.7
9.6,81726.81,3.6,7.2,27.5,Female,Product Management,No,Remote,4.0
16.9,114615.6,5.1,5.4,21.8,Male,Product Management,No,On-site,7.1
1.0,32821.62,1.5,8.3,37.7,Female,Product Management,No,Remote,1.0
2.9,38397.63,1.7,8.5,34.2,Male,Marketing,No,On-site,1.2
13.4,131206.54,5.8,4.7,17.6,Female,Marketing,No,On-site,5.6
10.1,67780.4,3.0,7.6,24.2,Male,Product Management,Yes,On-site,4.2
13.0,111032.97,4.9,4.3,18.4,Male,Product Management,Yes,On-site,5.5
10.3,94782.63,4.2,5.9,25.8,Male,Marketing,Yes,Remote,4.3
12.9,114008.69,5.1,4.9,21.8,Male,Product Management,Yes,Remote,5.4
5.9,31858.08,1.4,9.5,37.5,Female,Marketing,No,Remote,2.5
12.9,109663.73,4.9,5.7,19.2,Female,Product Management,No,Remote,5.4
15.0,103864.18,4.6,6.1,24.0,Female,Software Development,Yes,On-site,6.3
16.1,132672.01,5.9,3.7,14.1,Female,Software Development,Yes,Remote,6.8
20.1,131252.96,5.8,3.8,18.9,Male,Marketing,No,On-site,8.4
11.2,85957.76,3.8,6.9,23.9,Male,Software Development,Yes,On-site,4.7
11.4,100733.59,4.5,5.2,26.8,Female,Product Management,No,Remote,4.8
2.4,33827.31,1.5,7.2,27.5,Female,Software Development,Yes,Remote,1.0
7.3,59446.82,2.6,7.8,35.9,Female,Product Management,No,Remote,3.1
9.0,62272.86,2.8,6.8,27.6,Male,Software Development,No,On-site,3.8
15.3,78913.04,3.5,7.7,24.8,Female,Marketing,No,On-site,6.4
6.9,76529.8,3.4,6.8,27.1,Female,Software Development,No,Remote,2.9
14.0,89775.95,4.0,6.1,22.0,Male,Marketing,No,Remote,5.9
10.0,81437.99,3.6,6.1,25.3,Male,Software Development,Yes,Remote,4.2
9.1,101445.38,4.5,6.4,20.0,Male,Software Development,No,On-site,3.8
11.2,81712.8,3.6,6.6,23.3,Female,Product Management,No,Remote,4.7
8.0,73083.32,3.2,6.5,28.7,Male,Software Development,No,Remote,3.4
7.9,83575.1,3.7,5.8,22.3,Male,Software Development,No,On-site,3.3
1.5,37299.23,1.7,8.3,30.2,Male,Product Management,No,On-site,1.0
8.8,62487.57,2.8,6.5,23.9,Female,Software Development,No,On-site,3.7
7.6,73201.65,3.2,7.4,25.3,Male,Marketing,No,Remote,3.2
7.4,46270.9,2.1,6.5,37.0,Male,Software Development,No,On-site,3.1
12.1,102017.72,4.5,5.4,19.6,Female,Software Development,Yes,Remote,5.1
13.3,113364.23,5.0,5.3,18.1,Female,Marketing,No,Remote,5.6
11.2,81772.54,3.6,6.6,26.1,Male,Software Development,No,Remote,4.7
15.0,108454.21,4.8,4.8,19.8,Female,Product Management,Yes,Remote,6.3
12.9,70554.82,3.1,7.3,35.1,Female,Product Management,Yes,Remote,5.4
8.5,75465.94,3.3,6.1,26.1,Male,Software Development,Yes,On-site,3.6
7.7,91534.67,4.1,5.9,24.7,Male,Product Management,No,Remote,3.2
11.6,79903.37,3.5,6.9,28.9,Male,Software Development,No,On-site,4.9
12.9,97215.61,4.3,5.9,25.4,Male,Software Development,Yes,Remote,5.4
17.0,155009.13,6.9,2.9,12.8,Male,Software Development,No,Remote,7.1
16.0,169729.34,7.5,2.8,9.7,Female,Marketing,No,On-site,6.7
7.3,61339.54,2.7,7.3,36.5,Male,Marketing,No,On-site,3.1
9.5,79165.46,3.5,7.0,25.6,Female,Software Development,Yes,Remote,4.0
13.4,109444.63,4.9,5.9,19.4,Male,Product Management,No,On-site,5.6
15.3,136829.68,6.1,4.4,14.4,Female,Product Management,No,Remote,6.4
14.7,79614.77,3.5,7.2,20.3,Male,Software Development,No,On-site,6.2
9.7,95982.83,4.3,5.9,25.3,Female,Product Management,No,Remote,4.1
3.7,48257.19,2.1,8.5,22.2,Female,Product Management,No,On-site,1.6
5.0,60729.25,2.7,7.5,29.2,Female,Software Development,No,Remote,2.1
11.4,81427.31,3.6,5.6,24.9,Male,Software Development,Yes,On-site,4.8
11.7,92399.04,4.1,6.1,30.2,Female,Marketing,Yes,On-site,4.9
4.5,67982.96,3.0,7.2,21.5,Female,Marketing,No,Remote,1.9
10.2,107185.42,4.8,5.5,18.6,Female,Marketing,Yes,On-site,4.3
13.2,118794.18,5.3,4.7,18.6,Male,Software Development,Yes,Remote,5.5
4.2,50352.21,2.2,7.2,30.3,Female,Marketing,No,Remote,1.8
15.5,116584.45,5.2,5.1,18.0,Male,Marketing,Yes,On-site,6.5
8.1,76897.02,3.4,5.7,26.1,Female,Marketing,No,Remote,3.4
16.3,133422.73,5.9,4.7,13.7,Female,Software Development,No,Remote,6.8
7.3,82041.11,3.6,6.2,26.6,Male,Marketing,No,Remote,3.1
4.9,63275.1,2.8,7.4,20.4,Male,Software Development,Yes,On-site,2.0
7.7,87790.99,3.9,6.4,24.3,Male,Marketing,Yes,Remote,3.2
9.5,49514.04,2.2,8.3,28.9,Female,Product Management,Yes,Remote,4.0
8.1,76862.25,3.4,5.7,29.7,Male,Marketing,Yes,On-site,3.4
8.9,96117.35,4.3,6.2,28.0,Male,Software Development,Yes,On-site,3.7
11.7,110569.8,4.9,5.2,19.5,Female,Marketing,No,On-site,4.9
9.1,73046.92,3.2,6.3,31.7,Male,Product Management,No,On-site,3.8
9.7,124745.5,5.5,4.1,17.1,Male,Product Management,No,On-site,4.1
1.5,32408.84,1.4,8.3,30.1,Female,Marketing,No,Remote,1.0
12.0,87021.8,3.9,5.3,29.9,Male,Software Development,No,Remote,5.0
9.6,94352.6,4.2,6.8,24.8,Male,Marketing,No,On-site,4.0
18.1,195046.28,8.7,1.5,5.4,Male,Marketing,Yes,On-site,7.6
5.3,49662.49,2.2,8.1,33.9,Female,Product Management,No,On-site,2.2
1.0,25200.7,1.1,8.7,36.7,Female,Marketing,No,Remote,1.0
13.1,131382.75,5.8,4.1,16.5,Male,Marketing,Yes,Remote,5.5
11.7,98733.95,4.4,6.0,18.7,Male,Marketing,No,On-site,4.9
5.0,50485.96,2.2,9.1,30.0,Male,Software Development,No,On-site,2.1
2.4,42701.93,1.9,7.6,34.9,Female,Product Management,Yes,On-site,1.0
17.7,141474.66,6.3,3.3,14.7,Male,Marketing,No,Remote,7.4
17.1,174765.58,7.8,2.6,10.0,Female,Product Management,No,Remote,7.2
1.0,31356.41,1.4,7.1,36.1,Male,Marketing,No,On-site,1.0
7.7,77300.51,3.4,5.9,23.4,Female,Software Development,No,On-site,3.2
18.3,160798.13,7.1,2.8,9.6,Female,Marketing,No,Remote,7.7
7.6,68525.82,3.0,5.9,27.3,Female,Software Development,No,Remote,3.2
7.5,75042.22,3.3,7.4,24.9,Male,Software Development,Yes,On-site,3.2
8.6,80208.61,3.6,7.0,26.8,Female,Software Development,No,On-site,3.6
4.4,57592.4,2.6,7.0,27.1,Male,Product Management,No,Remote,1.8
1.5,32749.92,1.5,9.6,31.6,Male,Marketing,Yes,Remote,1.0
15.3,163799.55,7.3,3.1,12.4,Male,Software Development,No,Remote,6.4
1.0,21790.78,1.0,8.9,36.7,Female,Marketing,No,Remote,1.0
11.2,101257.61,4.5,5.3,20.1,Female,Marketing,Yes,On-site,4.7
14.4,114506.7,5.1,6.0,19.7,Female,Product Management,No,Remote,6.1
2.7,42904.82,1.9,8.7,38.0,Female,Marketing,Yes,On-site,1.2
5.4,60490.82,2.7,7.5,30.3,Male,Product Management,No,On-site,2.3
16.1,151971.42,6.7,3.7,14.0,Female,Software Development,No,Remote,6.7
12.7,109408.76,4.9,5.3,18.6,Female,Product Management,Yes,Remote,5.3
6.9,51085.92,2.3,7.3,34.9,Female,Product Management,No,Remote,2.9
16.0,114461.11,5.1,5.0,25.4,Male,Product Management,No,Remote,6.7
16.0,159311.08,7.1,3.2,10.6,Female,Software Development,No,Remote,6.7
11.3,52144.76,2.3,6.2,26.2,Female,Marketing,Yes,On-site,4.8
5.5,71498.63,3.2,6.6,27.9,Female,Marketing,Yes,On-site,2.3
7.9,79816.01,3.5,7.4,28.7,Male,Software Development,No,On-site,3.3
11.4,117977.83,5.2,4.5,18.8,Female,Marketing,No,On-site,4.8
9.1,79354.04,3.5,7.5,22.5,Female,Product Management,No,On-site,3.8
14.7,77044.24,3.4,7.5,26.0,Male,Marketing,No,On-site,6.2
2.4,29667.76,1.3,8.6,37.3,Male,Product Management,No,Remote,1.0
2.5,46837.23,2.1,7.5,30.1,Male,Software Development,Yes,On-site,1.1
10.9,97619.1,4.3,5.5,24.4,Female,Product Management,Yes,Remote,4.6
7.5,78872.73,3.5,8.2,29.8,Male,Marketing,No,Remote,3.2
6.9,76456.08,3.4,7.8,27.2,Male,Marketing,No,Remote,2.9
1.2,25886.06,1.1,9.0,35.3,Female,Product Management,No,On-site,1.0
10.1,78322.14,3.5,6.1,28.8,Female,Software Development,No,On-site,4.2
9.7,103621.25,4.6,5.5,19.3,Male,Product Management,No,On-site,4.1
13.3,86093.76,3.8,6.3,21.8,Male,Marketing,No,On-site,5.6
10.3,79505.64,3.5,5.7,25.0,Female,Software Development,Yes,Remote,4.3
9.3,69176.46,3.1,7.0,26.0,Female,Product Management,No,On-site,3.9
15.9,95214.78,4.2,6.5,20.8,Male,Marketing,No,On-site,6.7
3.4,45725.93,2.0,6.5,39.2,Female,Product Management,No,On-site,1.4
12.7,124301.16,5.5,4.9,22.8,Male,Software Development,No,Remote,5.3
1.6,31251.72,1.4,9.8,32.9,Female,Product Management,No,Remote,1.0
5.8,48356.07,2.1,7.4,31.8,Male,Marketing,No,On-site,2.4
3.9,53161.18,2.4,8.9,29.8,Male,Software Development,Yes,Remote,1.7
13.9,151460.28,6.7,3.1,14.9,Male,Marketing,No,On-site,5.8
9.7,84023.33,3.7,6.5,29.2,Male,Software Development,No,Remote,4.1
9.9,80629.27,3.6,6.2,20.0,Female,Marketing,Yes,On-site,4.2
4.5,55855.64,2.5,7.3,31.9,Female,Software Development,Yes,Remote,1.9
8.5,106679.83,4.7,4.9,17.6,Female,Software Development,No,On-site,3.6
6.2,58060.89,2.6,7.9,36.2,Male,Software Development,Yes,Remote,2.6
11.9,80674.49,3.6,7.0,27.1,Male,Marketing,No,On-site,5.0
5.0,59607.72,2.6,7.3,26.4,Male,Marketing,No,Remote,2.1
16.6,162685.14,7.2,2.4,10.8,Male,Marketing,No,On-site,7.0
1.6,30080.98,1.3,9.0,33.4,Female,Software Development,No,On-site,1.0
6.0,63192.67,2.8,7.5,30.7,Male,Marketing,No,Remote,2.5
18.4,175608.05,7.8,2.2,10.0,Female,Product Management,No,On-site,7.7
7.8,76670.12,3.4,7.8,22.6,Female,Software Development,No,Remote,3.3
3.4,43427.58,1.9,6.8,39.7,Male,Product Management,No,Remote,1.4
11.1,96961.25,4.3,4.4,27.4,Female,Marketing,Yes,Remote,4.7
7.6,61007.6,2.7,6.8,26.0,Male,Product Management,Yes,On-site,3.2
5.8,53086.01,2.4,8.2,30.9,Male,Software Development,Yes,Remote,2.4
4.5,49892.35,2.2,7.0,37.8,Female,Software Development,No,Remote,1.9
23.8,169012.81,7.5,2.3,11.5,Male,Product Management,No,On-site,10.0
8.7,75448.3,3.3,7.3,25.5,Male,Product Management,No,On-site,3.7
1.0,24294.26,1.1,9.3,39.3,Female,Software Development,No,Remote,1.0
17.5,162861.02,7.2,2.9,15.2,Male,Software Development,No,On-site,7.3
13.1,122722.9,5.4,4.9,18.5,Female,Marketing,No,On-site,5.5
6.2,54890.02,2.4,7.2,27.9,Male,Marketing,No,Remote,2.6
5.3,65032.77,2.9,6.8,29.1,Male,Product Management,No,On-site,2.2
13.4,128437.82,5.7,4.6,17.7,Female,Software Development,No,Remote,5.6
8.8,77153.52,3.4,5.7,24.6,Female,Marketing,Yes,On-site,3.7
1.0,30857.87,1.4,6.8,36.4,Male,Software Development,No,Remote,1.0
18.9,153816.04,6.8,3.0,10.7,Male,Software Development,No,On-site,7.9
7.8,86927.11,3.9,6.7,22.5,Female,Software Development,No,Remote,3.3
17.5,142073.55,6.3,3.8,16.2,Male,Product Management,Yes,On-site,7.3
16.4,122649.73,5.4,4.9,14.2,Female,Marketing,No,Remote,6.9
5.0,66123.02,2.9,5.6,31.5,Female,Product Management,No,Remote,2.1
15.2,151456.94,6.7,3.4,9.8,Female,Software Development,No,Remote,6.4
6.7,63047.99,2.8,7.7,22.6,Female,Software Development,Yes,On-site,2.8
1.0,31734.79,1.4,7.4,32.2,Female,Software Development,No,Remote,1.0
7.9,85983.84,3.8,6.7,25.6,Female,Software Development,No,Remote,3.3
12.0,111015.15,4.9,5.0,23.7,Female,Product Management,Yes,Remote,5.0
7.7,77518.47,3.4,8.6,26.4,Female,Software Development,No,On-site,3.2
8.5,89456.42,4.0,4.7,23.4,Male,Software Development,Yes,Remote,3.6
15.7,148850.02,6.6,3.9,14.6,Male,Software Development,No,On-site,6.6
10.5,91063.64,4.0,5.7,21.2,Female,Software Development,No,Remote,4.4
5.8,67984.76,3.0,5.9,28.4,Female,Product Management,No,Remote,2.4
13.5,117564.89,5.2,4.5,16.3,Male,Marketing,No,Remote,5.7
11.0,95696.44,4.2,5.9,23.2,Male,Product Management,No,On-site,4.6
1.0,23823.85,1.1,9.9,35.2,Female,Marketing,Yes,Remote,1.0
12.1,100668.96,4.5,6.5,19.9,Female,Software Development,No,Remote,5.1
12.0,97050.55,4.3,6.5,23.2,Male,Software Development,Yes,Remote,5.0
10.1,77888.69,3.5,5.9,26.7,Female,Product Management,No,On-site,4.2
14.5,114663.21,5.1,5.5,22.5,Female,Product Management,Yes,Remote,6.1
6.6,60201.69,2.7,7.6,23.4,Female,Software Development,Yes,On-site,2.8
11.7,82014.25,3.6,5.9,25.2,Female,Software Development,No,Remote,4.9
2.2,38185.32,1.7,8.1,30.1,Male,Software Development,No,Remote,1.0
12.0,110272.76,4.9,4.7,22.6,Female,Software Development,No,Remote,5.0
19.8,152557.2,6.8,3.2,14.1,Female,Software Development,No,On-site,8.3
5.0,46985.42,2.1,7.3,33.7,Female,Software Development,No,On-site,2.1
6.2,37476.77,1.7,7.5,30.4,Male,Marketing,No,Remote,2.6
6.4,78034.75,3.5,6.8,29.0,Male,Software Development,Yes,On-site,2.7
10.6,110403.6,4.9,5.4,16.5,Male,Software Development,No,Remote,4.5
4.7,53691.3,2.4,7.5,23.9,Male,Product Management,No,On-site,2.0
12.1,140479.0,6.2,4.3,12.7,Female,Marketing,No,Remote,5.1
14.2,98947.88,4.4,5.5,22.3,Female,Product Management,No,Remote,6.0
12.7,140967.21,6.3,3.6,16.2,Female,Software Development,No,On-site,5.3
1.2,15551.25,1.0,9.6,22.6,Female,Marketing,No,On-site,1.0
15.0,125229.48,5.6,4.4,20.7,Male,Software Development,Yes,Remote,6.3
14.7,91998.7,4.1,6.0,24.1,Female,Marketing,Yes,Remote,6.2
14.2,118132.15,5.2,3.6,15.3,Female,Software Development,Yes,Remote,5.9
11.9,104273.48,4.6,5.4,21.8,Female,Software Development,Yes,On-site,5.0
11.1,92676.78,4.1,4.8,26.8,Female,Product Management,No,Remote,4.7
15.2,136714.35,6.1,3.5,16.9,Female,Marketing,Yes,On-site,6.4
